Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,13.17,13.3,12.58,12.9,4079600,0,0
2020-05-14,12.37,13.07,11.61,13.01,4386000,0,0
2020-05-15,12.7,13.35,12.55,12.87,3262300,0,0
2020-05-18,13.62,14.78,13.47,14.38,5078500,0,0
2020-05-19,14.34,14.5,13.27,13.45,3155900,0,0
2020-05-20,13.82,14.31,13.56,13.98,3819800,0,0
2020-05-21,13.94,15.2,13.89,15.06,3663700,0,0
2020-05-22,15.04,15.35,14.38,14.5,2386400,0,0
2020-05-26,15.5,16.73,15.5,16.4,4275600,0,0
2020-05-27,17.36,18.46,17.19,17.85,5478000,0,0
2020-05-28,17.99,18.04,16.3,16.37,4328900,0,0
2020-05-29,15.92,16.19,14.97,15.04,12722400,0,0
2020-06-01,15.07,17.21,14.98,16.8,4972200,0,0
2020-06-02,17.19,17.58,16.34,17.46,4208200,0,0
2020-06-03,18.16,18.54,17.66,17.89,7949900,0,0
2020-06-04,17.77,20.24,17.48,20.04,7635400,0,0
2020-06-05,22.04,23.09,20.8,20.86,5803800,0,0
2020-06-08,22.44,23.74,22.0,23.29,6811700,0,0
2020-06-09,22.24,22.42,20.8,21.02,4397000,0,0
2020-06-10,21.02,21.05,19.36,19.48,3756000,0,0
2020-06-11,17.49,18.12,16.38,16.65,5548000,0,0
2020-06-12,17.9,18.07,16.35,17.21,4226400,0,0
