Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,81.69,82.48,79.17,79.71,1791900,0,0
2020-05-14,78.84,80.46,77.69,80.32,2011700,0,0
2020-05-15,79.62,80.49,78.91,79.54,1955900,0,0
2020-05-18,81.48,84.37,81.38,83.98,2132100,0,0
2020-05-19,84.21,86.21,83.88,83.93,1803700,0,0
2020-05-20,84.75,87.02,84.72,86.69,2277000,0,0
2020-05-21,86.51,89.74,85.6,86.4,2719100,0,0
2020-05-22,85.79,87.74,85.43,86.25,2061200,0,0
2020-05-26,89.08,89.64,87.88,88.28,1620400,0,0
2020-05-27,88.55,89.58,86.91,88.45,1876000,0,0
2020-05-28,88.92,90.75,88.05,89.12,1313100,0,0
2020-05-29,89.45,89.81,88.27,89.39,2680200,0,0
2020-06-01,89.34,90.42,88.44,89.68,1385400,0,0
2020-06-02,90.32,90.89,87.98,88.14,2147900,0,0
2020-06-03,88.86,90.46,88.28,89.97,1992100,0,0
2020-06-04,89.45,91.01,89.28,89.74,1206200,0,0
2020-06-05,91.13,92.35,89.0,91.82,1956400,0,0
2020-06-08,91.66,92.65,89.89,90.24,2321800,0,0
2020-06-09,89.35,89.73,88.12,89.1,1423200,0,0
2020-06-10,89.25,89.84,88.24,89.4,1825700,0,0
2020-06-11,87.71,88.51,84.6,84.6,1675000,0,0
2020-06-12,86.38,87.08,83.29,85.04,1491000,0,0
