Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,175.17,175.21,166.27,169.64,12534900,0,0
2020-05-14,168.44,168.57,164.57,167.0,7442300,0,0
2020-05-15,167.27,171.72,166.18,171.33,5673800,0,0
2020-05-18,174.0,177.0,172.13,172.5,6399500,0,0
2020-05-19,172.75,178.2,172.75,176.04,5264000,0,0
2020-05-20,178.57,179.14,174.9,176.93,4951200,0,0
2020-05-21,176.93,178.29,174.93,175.26,4429700,0,0
2020-05-22,176.6,178.64,175.45,177.85,4965100,0,0
2020-05-26,182.0,182.0,176.22,176.52,8353600,0,0
2020-05-27,176.29,176.61,171.37,176.6,6340200,0,0
2020-05-28,180.0,184.8,177.1,181.1,10275200,0,0
2020-05-29,174.3,175.0,170.69,174.79,19645400,0,0
2020-06-01,173.1,177.52,172.68,176.36,5711600,0,0
2020-06-02,174.85,174.9,171.22,174.23,8571800,0,0
2020-06-03,174.83,175.93,172.84,174.99,6004000,0,0
2020-06-04,175.0,175.43,170.0,171.44,7301600,0,0
2020-06-05,170.11,174.19,167.0,173.88,8232200,0,0
2020-06-08,173.63,176.57,172.66,176.55,4592600,0,0
2020-06-09,176.0,176.0,173.53,174.56,4025600,0,0
2020-06-10,176.25,182.5,176.05,182.1,8127200,0,0
2020-06-11,176.64,178.43,172.0,172.05,6521200,0,0
2020-06-12,175.9,177.69,171.86,175.11,5439600,0,0
