Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,43.41,43.57,41.31,41.95,36986700,0,0
2020-05-14,43.43,44.58,43.26,43.85,50417700,0,0
2020-05-15,42.93,44.38,42.85,44.27,30573000,0,0
2020-05-18,45.21,45.3,44.33,45.06,26980100,0,0
2020-05-19,44.83,44.98,44.41,44.61,24345400,0,0
2020-05-20,45.05,45.82,45.03,45.44,20184500,0,0
2020-05-21,45.45,45.66,44.56,44.64,18674900,0,0
2020-05-22,44.67,44.95,44.12,44.9,12592800,0,0
2020-05-26,45.78,45.8,44.68,44.84,21776900,0,0
2020-05-27,45.04,45.98,44.8,45.96,22157200,0,0
2020-05-28,45.9,46.46,45.37,45.6,20013000,0,0
2020-05-29,46.04,47.82,45.41,47.82,43570400,0,0
2020-06-01,47.15,47.29,46.23,46.3,18712400,0,0
2020-06-02,46.4,46.9,45.88,46.89,17285900,0,0
2020-06-03,46.98,47.2,46.54,46.94,17492000,0,0
2020-06-04,46.77,47.25,46.53,46.86,14100700,0,0
2020-06-05,47.27,48.29,47.2,47.83,22591100,0,0
2020-06-08,47.46,48.16,47.12,48.13,17820900,0,0
2020-06-09,48.02,48.24,47.49,48.05,18597300,0,0
2020-06-10,47.66,47.83,47.12,47.42,18462400,0,0
2020-06-11,46.99,47.0,43.64,43.67,35582000,0,0
2020-06-12,44.96,45.86,44.11,45.07,26116600,0,0
