Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,63.86,63.86,61.46,62.11,4144100,0.0,0
2020-05-14,61.7,62.87,59.79,62.75,3893300,0.0,0
2020-05-15,61.82,62.39,61.4,61.78,5259000,0.0,0
2020-05-18,64.26,66.66,63.82,66.16,3996100,0.0,0
2020-05-19,66.4,67.32,65.73,65.73,4534900,0.0,0
2020-05-20,68.6,69.56,67.87,68.12,5168100,0.0,0
2020-05-21,67.86,68.04,66.68,67.56,3357600,0.0,0
2020-05-22,67.26,68.39,67.18,68.29,2723600,0.0,0
2020-05-26,70.23,71.91,69.79,71.89,5751200,0.0,0
2020-05-27,72.53,73.67,72.45,73.34,5586700,0.0,0
2020-05-28,73.98,74.0,70.71,71.25,5479800,0.26,0
2020-05-29,70.95,72.35,70.01,71.58,5284800,0.0,0
2020-06-01,70.98,71.58,70.33,70.86,2749900,0.0,0
2020-06-02,71.68,72.47,71.13,72.18,3034800,0.0,0
2020-06-03,73.41,74.87,73.0,74.67,3919500,0.0,0
2020-06-04,74.1,74.48,73.7,74.04,3136300,0.0,0
2020-06-05,75.95,76.91,74.93,75.08,5925400,0.0,0
2020-06-08,74.82,75.99,73.82,74.33,4632000,0.0,0
2020-06-09,73.57,74.22,73.06,73.66,3437500,0.0,0
2020-06-10,73.66,74.13,72.36,73.29,4080500,0.0,0
2020-06-11,71.78,72.4,68.22,68.29,4971000,0.0,0
2020-06-12,70.51,70.67,68.06,69.57,4170700,0.0,0
