Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,202.2,203.48,197.14,199.47,1359800,0,0
2020-05-14,204.91,229.24,204.24,228.71,2393100,0,0
2020-05-15,225.85,230.66,222.88,227.42,1459800,0,0
2020-05-18,232.13,239.43,232.13,236.43,999200,0,0
2020-05-19,237.41,244.36,236.03,238.98,1054300,0,0
2020-05-20,240.6,243.48,238.76,240.53,952500,0,0
2020-05-21,241.59,245.72,240.81,242.56,546500,0,0
2020-05-22,241.57,242.13,239.68,240.65,436300,0,0
2020-05-26,249.12,254.99,247.15,252.73,854400,0,0
2020-05-27,254.95,256.96,247.33,251.58,750300,0,0
2020-05-28,252.07,254.64,250.08,251.72,483500,0,0
2020-05-29,251.5,251.5,243.09,247.96,1246600,0,0
2020-06-01,248.5,252.17,247.11,250.94,481400,0,0
2020-06-02,251.46,255.35,249.45,255.0,877100,0,0
2020-06-03,258.91,271.9,256.63,270.81,732700,0,0
2020-06-04,268.48,270.73,266.13,269.21,526600,0,0
2020-06-05,276.13,286.61,275.95,286.5,1048300,0,0
2020-06-08,289.98,292.11,285.35,291.51,755300,0,0
2020-06-09,285.87,286.91,281.81,282.91,612000,0,0
2020-06-10,283.77,283.77,275.06,278.18,605900,0,0
2020-06-11,266.68,271.7,261.9,264.0,886400,0,0
2020-06-12,271.4,272.97,260.46,266.2,564300,0,0
