Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,9.5,9.55,8.73,8.96,15795500,0.0,0
2020-05-14,8.82,8.96,8.53,8.96,12561600,0.0,0
2020-05-15,8.87,9.1,8.84,9.04,11185700,0.0,0
2020-05-18,9.34,9.53,9.24,9.45,8970100,0.0,0
2020-05-19,9.41,9.48,9.3,9.34,9411500,0.0,0
2020-05-20,9.45,9.82,9.32,9.66,14146200,0.0,0
2020-05-21,9.7,9.79,9.42,9.47,13711300,0.0,0
2020-05-22,9.49,9.59,9.41,9.58,6344000,0.0,0
2020-05-26,9.92,9.93,9.67,9.72,12863800,0.0,0
2020-05-27,9.99,10.23,9.85,10.04,14913800,0.0,0
2020-05-28,10.04,10.04,9.79,9.92,9415000,0.0,0
2020-05-29,9.9,9.9,9.45,9.83,23211700,0.25,0
2020-06-01,9.81,10.23,9.74,10.14,12529800,0.0,0
2020-06-02,10.24,10.3,10.03,10.24,9906100,0.0,0
2020-06-03,10.3,10.73,10.3,10.61,12509300,0.0,0
2020-06-04,10.55,10.71,10.42,10.6,12411100,0.0,0
2020-06-05,11.0,11.11,10.74,10.81,14386900,0.0,0
2020-06-08,10.95,11.39,10.95,11.37,9441500,0.0,0
2020-06-09,11.14,11.16,10.76,11.01,10078400,0.0,0
2020-06-10,11.01,11.03,10.45,10.71,13515000,0.0,0
2020-06-11,10.13,10.22,9.63,9.75,17080100,0.0,0
2020-06-12,10.18,10.23,9.84,10.08,10859600,0.0,0
