Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,23.02,23.27,22.25,23.14,4581500,0.0,0
2020-05-14,22.77,23.36,22.38,23.32,3357400,0.13,0
2020-05-15,23.2,23.27,22.62,22.77,3601200,0.0,0
2020-05-18,23.69,24.28,23.04,24.01,5834600,0.0,0
2020-05-19,24.11,24.38,23.59,23.99,6195900,0.0,0
2020-05-20,24.68,25.6,24.65,25.09,4719600,0.0,0
2020-05-21,24.94,25.48,24.51,24.55,4021000,0.0,0
2020-05-22,24.5,24.67,24.25,24.54,3830600,0.0,0
2020-05-26,25.43,26.06,25.2,25.64,3797800,0.0,0
2020-05-27,25.89,26.17,25.46,25.8,5831000,0.0,0
2020-05-28,26.26,27.47,25.92,26.99,4069200,0.0,0
2020-05-29,26.73,27.43,26.71,27.31,6293700,0.0,0
2020-06-01,27.1,27.25,26.5,26.82,3167100,0.0,0
2020-06-02,26.93,28.03,26.75,28.01,4302500,0.0,0
2020-06-03,28.17,28.95,28.15,28.5,3287700,0.0,0
2020-06-04,28.8,30.18,28.63,30.17,6759100,0.0,0
2020-06-05,31.0,31.69,30.49,30.65,4189400,0.0,0
2020-06-08,29.69,30.82,29.31,30.01,4850400,0.0,0
2020-06-09,29.64,29.97,29.08,29.59,5365200,0.0,0
2020-06-10,29.48,30.13,29.14,29.14,4184300,0.0,0
2020-06-11,28.43,28.44,27.02,27.1,5928500,0.0,0
2020-06-12,28.44,28.49,27.2,27.54,3843900,0.0,0
