Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,146.99,149.14,143.86,146.14,1758500,0.0,0
2020-05-14,145.91,146.59,143.12,145.69,1430900,0.0,0
2020-05-15,144.53,147.81,144.08,146.35,1616100,0.0,0
2020-05-18,146.07,146.89,139.38,139.54,3602200,0.0,0
2020-05-19,140.31,140.81,136.71,136.83,2467600,0.0,0
2020-05-20,137.69,138.61,134.84,137.1,1804400,0.0,0
2020-05-21,137.46,137.95,134.71,136.39,1616100,0.0,0
2020-05-22,136.82,137.53,134.79,136.7,1616300,0.0,0
2020-05-26,138.46,139.92,136.9,138.6,2347600,0.0,0
2020-05-27,136.5,139.06,135.17,138.86,1642400,0.0,0
2020-05-28,138.96,142.43,138.67,140.84,1670800,0.0,0
2020-05-29,141.36,148.16,141.19,147.75,3616400,0.0,0
2020-06-01,147.02,148.34,144.81,146.28,1352200,0.0,0
2020-06-02,145.53,145.66,140.41,143.51,1617900,0.0,0
2020-06-03,143.49,143.49,138.73,139.22,1498900,0.0,0
2020-06-04,137.97,140.71,137.8,139.93,1413500,0.35,0
2020-06-05,137.62,139.55,135.34,139.15,2048300,0.0,0
2020-06-08,136.41,140.54,136.1,139.89,1765300,0.0,0
2020-06-09,141.36,142.37,139.11,140.22,1311300,0.0,0
2020-06-10,141.72,143.59,140.22,141.37,2056200,0.0,0
2020-06-11,140.73,143.37,137.5,137.88,1713200,0.0,0
2020-06-12,139.49,142.66,138.83,140.74,1863600,0.0,0
