Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,63.28,63.5,60.76,61.15,10931400,0,0
2020-05-14,62.31,62.41,60.34,62.31,8854900,0,0
2020-05-15,61.77,63.3,61.71,63.19,10420600,0,0
2020-05-18,64.47,64.86,63.67,63.73,6820300,0,0
2020-05-19,63.3,64.18,62.87,63.61,5061100,0,0
2020-05-20,64.1,64.33,62.99,63.22,7046500,0,0
2020-05-21,62.95,63.93,62.73,63.34,5484100,0,0
2020-05-22,63.42,63.49,62.89,63.33,3495900,0,0
2020-05-26,64.47,65.6,64.33,64.64,7974400,0,0
2020-05-27,64.97,66.0,63.85,65.97,7118400,0,0
2020-05-28,66.7,67.73,66.41,66.56,6599500,0,0
2020-05-29,66.39,66.7,64.62,65.57,8979300,0,0
2020-06-01,65.44,65.96,65.01,65.64,5187000,0,0
2020-06-02,65.64,67.31,65.41,66.84,5463700,0,0
2020-06-03,67.14,67.68,66.24,66.85,6102400,0,0
2020-06-04,66.29,66.72,65.95,66.53,5468900,0,0
2020-06-05,67.28,69.19,67.13,68.35,8598400,0,0
2020-06-08,68.2,70.64,68.16,70.62,8556300,0,0
2020-06-09,69.87,70.29,68.98,69.37,5957100,0,0
2020-06-10,69.58,69.61,67.38,67.51,6344400,0,0
2020-06-11,66.11,66.43,62.71,63.16,11927500,0,0
2020-06-12,64.77,65.78,62.74,64.15,10342700,0,0
