Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,88.6,88.7,86.06,87.42,12215100,0.0,0
2020-05-14,86.03,89.61,84.78,88.75,10678200,0.0,0
2020-05-15,89.34,90.73,87.54,87.87,10113000,0.0,0
2020-05-18,92.4,93.4,91.46,92.55,12306500,1.29,0
2020-05-19,92.53,92.63,89.53,89.62,7749300,0.0,0
2020-05-20,91.0,93.47,90.18,93.0,9160000,0.0,0
2020-05-21,92.77,93.37,91.28,92.04,8830900,0.0,0
2020-05-22,91.45,91.6,89.47,90.28,8563100,0.0,0
2020-05-26,92.49,94.34,92.03,93.3,9430000,0.0,0
2020-05-27,94.68,94.69,92.11,93.9,7822600,0.0,0
2020-05-28,93.61,93.9,90.79,90.87,9633300,0.0,0
2020-05-29,90.19,91.89,89.26,91.7,17016900,0.0,0
2020-06-01,90.94,93.85,90.11,92.79,7344000,0.0,0
2020-06-02,93.78,95.22,93.29,94.69,7880300,0.0,0
2020-06-03,95.97,97.73,95.75,97.18,8440200,0.0,0
2020-06-04,96.78,96.89,95.16,96.28,6371700,0.0,0
2020-06-05,99.08,102.05,99.05,100.81,12760100,0.0,0
2020-06-08,102.63,103.59,100.87,103.24,11090700,0.0,0
2020-06-09,100.7,102.93,99.83,101.53,10745400,0.0,0
2020-06-10,101.0,101.5,97.56,97.58,10486300,0.0,0
2020-06-11,92.3,94.19,89.12,89.37,14944800,0.0,0
2020-06-12,93.62,93.65,90.01,92.39,9531200,0.0,0
