Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,55.51,55.51,53.2,53.97,2069900,0,0
2020-05-14,53.08,55.62,51.66,54.85,1393800,0,0
2020-05-15,54.68,56.31,54.07,54.26,2223500,0,0
2020-05-18,57.57,59.88,56.68,59.27,2009000,0,0
2020-05-19,59.3,59.55,57.3,57.33,1943500,0,0
2020-05-20,57.8,59.68,57.69,58.1,1444800,0,0
2020-05-21,58.4,58.64,56.53,56.72,1559700,0,0
2020-05-22,56.6,56.8,55.04,55.83,1980400,0,0
2020-05-26,58.04,58.04,55.78,56.0,1843600,0,0
2020-05-27,56.98,56.98,53.8,55.0,2539500,0,0
2020-05-28,55.13,56.73,53.95,54.94,2570100,0,0
2020-05-29,54.42,55.13,53.0,54.52,3243000,0,0
2020-06-01,54.48,56.78,53.41,56.62,2379000,0,0
2020-06-02,56.71,59.73,56.71,59.53,3001600,0,0
2020-06-03,60.95,64.37,60.43,64.25,3755500,0,0
2020-06-04,63.32,65.1,62.9,64.33,2070000,0,0
2020-06-05,68.8,71.43,67.53,70.25,3843100,0,0
2020-06-08,73.61,73.72,69.12,72.33,2396000,0,0
2020-06-09,67.64,67.98,64.33,64.98,4387200,0,0
2020-06-10,63.46,64.25,61.3,61.34,4465300,0,0
2020-06-11,56.19,60.64,55.68,57.89,2745300,0,0
2020-06-12,60.41,60.81,56.46,58.0,3157900,0,0
