Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,77.64,78.28,76.57,78.15,4172800,0.0,0
2020-05-14,77.69,79.51,75.91,78.76,4005900,0.0,0
2020-05-15,78.39,78.62,76.57,77.37,8694600,0.0,0
2020-05-18,79.12,79.58,78.43,78.98,3394200,0.0,0
2020-05-19,78.58,79.07,77.95,77.97,2743100,0.0,0
2020-05-20,78.29,79.04,77.46,77.89,2115200,0.0,0
2020-05-21,77.61,78.28,77.36,77.75,2387200,0.0,0
2020-05-22,77.67,79.64,77.41,79.63,2977600,0.0,0
2020-05-26,81.02,81.84,79.62,79.94,4157600,0.0,0
2020-05-27,81.16,81.76,80.07,80.67,3575500,0.0,0
2020-05-28,81.76,83.47,81.52,82.79,3402500,0.0,0
2020-05-29,82.02,84.19,81.69,84.09,5577800,0.0,0
2020-06-01,83.89,85.72,83.19,84.96,3799900,0.0,0
2020-06-02,85.41,85.41,84.22,85.29,3407600,0.0,0
2020-06-03,85.99,86.39,84.95,85.54,3229300,0.0,0
2020-06-04,85.03,85.37,83.64,84.96,3960700,0.94,0
2020-06-05,85.49,85.93,84.13,84.29,4573900,0.0,0
2020-06-08,83.86,86.69,83.21,86.4,3138600,0.0,0
2020-06-09,85.8,85.99,84.58,85.85,2526300,0.0,0
2020-06-10,85.92,87.29,85.92,87.0,4694000,0.0,0
2020-06-11,85.76,86.19,83.77,84.01,6670500,0.0,0
2020-06-12,85.7,85.87,82.38,83.15,5337100,0.0,0
