Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,20.97,20.97,19.09,19.41,72264900,0,0
2020-05-14,18.8,19.54,17.51,19.38,88506300,0,0
2020-05-15,18.97,19.65,18.62,19.19,46861800,0,0
2020-05-18,20.91,21.94,20.55,21.86,74681700,0,0
2020-05-19,22.57,22.57,21.32,21.76,70906400,0,0
2020-05-20,22.34,23.1,22.14,22.72,50857000,0,0
2020-05-21,22.77,23.68,22.67,23.16,46567200,0,0
2020-05-22,23.24,23.4,22.23,22.69,37139300,0,0
2020-05-26,24.48,25.87,24.28,25.65,78557100,0,0
2020-05-27,27.67,27.85,24.73,26.32,92712000,0,0
2020-05-28,26.25,26.36,24.95,25.66,53868100,0,0
2020-05-29,24.62,25.61,24.37,25.21,50687500,0,0
2020-06-01,25.33,26.76,25.08,26.17,46510800,0,0
2020-06-02,26.68,26.98,25.94,26.41,43200400,0,0
2020-06-03,27.01,28.6,26.7,28.47,65011100,0,0
2020-06-04,30.27,32.81,29.22,32.38,134626500,0,0
2020-06-05,37.2,37.24,33.45,34.16,130685400,0,0
2020-06-08,36.63,37.08,35.38,36.97,82137300,0,0
2020-06-09,34.5,34.73,32.65,34.17,60254500,0,0
2020-06-10,32.24,32.99,29.76,31.64,90379400,0,0
2020-06-11,26.65,29.57,26.6,27.2,88001500,0,0
2020-06-12,29.89,30.74,28.75,30.43,68209700,0,0
