Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,44.85,45.06,43.12,43.63,4420900,0.0,0
2020-05-14,42.64,45.02,41.58,44.98,7872700,0.0,0
2020-05-15,44.49,45.56,44.13,45.17,2926700,0.0,0
2020-05-18,46.86,48.29,46.79,47.81,11274300,0.0,0
2020-05-19,47.51,48.61,46.5,47.49,6162300,0.0,0
2020-05-20,48.34,48.87,48.17,48.57,5417000,0.0,0
2020-05-21,48.54,49.57,48.02,48.57,6392300,0.0,0
2020-05-22,48.2,48.53,47.41,48.39,2958700,0.0,0
2020-05-26,50.04,50.81,49.93,50.06,5998400,0.0,0
2020-05-27,50.66,51.42,48.96,49.16,6723600,0.0,0
2020-05-28,49.76,51.09,48.24,50.5,7270500,0.3,0
2020-05-29,50.21,50.85,49.43,50.73,6564700,0.0,0
2020-06-01,50.34,51.1,50.05,50.88,5492800,0.0,0
2020-06-02,50.95,52.65,50.82,52.65,7516200,0.0,0
2020-06-03,53.36,55.07,53.26,54.58,6853100,0.0,0
2020-06-04,54.15,55.05,54.08,54.98,3941900,0.0,0
2020-06-05,56.09,58.67,56.0,56.14,11223800,0.0,0
2020-06-08,56.62,57.25,55.82,57.04,7314600,0.0,0
2020-06-09,55.94,57.07,55.3,55.93,6118500,0.0,0
2020-06-10,55.93,56.01,53.62,53.68,8753700,0.0,0
2020-06-11,51.12,52.17,49.14,49.98,8205800,0.0,0
2020-06-12,52.17,52.24,49.79,51.01,5707700,0.0,0
