Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,130.95,131.13,124.5,125.82,2027400,0,0
2020-05-14,123.0,126.96,117.85,126.8,2720600,0,0
2020-05-15,125.99,127.7,124.69,126.01,1649600,0,0
2020-05-18,131.98,138.87,130.51,137.9,2450900,0,0
2020-05-19,139.09,139.44,135.44,136.15,1859400,0,0
2020-05-20,138.48,143.08,138.11,142.31,2399400,0,0
2020-05-21,141.07,144.5,141.07,142.81,2100200,0,0
2020-05-22,148.0,148.41,138.76,140.71,3427600,0,0
2020-05-26,144.46,151.0,144.46,148.03,2500300,0,0
2020-05-27,152.0,154.27,150.53,153.36,1936400,0,0
2020-05-28,156.19,156.34,152.13,153.16,1914700,0,0
2020-05-29,151.27,152.93,147.87,152.12,2249000,0,0
2020-06-01,149.34,150.95,147.4,149.14,1464600,0,0
2020-06-02,150.64,154.1,150.12,152.95,1335400,0,0
2020-06-03,155.13,158.84,155.06,158.35,1678800,0,0
2020-06-04,156.79,161.37,156.08,161.14,1469900,0,0
2020-06-05,167.9,170.11,165.65,166.72,2061200,0,0
2020-06-08,167.0,170.41,166.81,168.81,1373000,0,0
2020-06-09,163.54,165.87,163.13,164.81,1977400,0,0
2020-06-10,164.42,165.09,160.96,161.0,1311700,0,0
2020-06-11,155.23,156.88,150.69,151.09,1576200,0,0
2020-06-12,156.45,157.27,150.52,154.97,1598000,0,0
