Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,38.6,38.67,35.33,35.99,5654500,0.0,0
2020-05-14,35.46,39.1,34.66,38.8,6623200,0.0,0
2020-05-15,38.07,38.65,37.35,37.58,3217500,0.0,0
2020-05-18,39.94,40.92,39.74,40.61,5300300,0.0,0
2020-05-19,40.28,40.96,38.91,39.31,4664500,0.0,0
2020-05-20,40.37,41.39,40.21,41.01,4392400,0.44,0
2020-05-21,40.9,41.56,40.23,40.75,3222600,0.0,0
2020-05-22,40.81,41.15,39.76,40.47,2434000,0.0,0
2020-05-26,42.92,45.01,42.47,44.08,7294700,0.0,0
2020-05-27,47.27,49.62,46.95,49.6,8441000,0.0,0
2020-05-28,50.32,52.19,48.85,49.47,10462500,0.0,0
2020-05-29,48.14,49.95,47.35,47.51,8224200,0.0,0
2020-06-01,47.79,49.86,47.46,49.84,5263500,0.0,0
2020-06-02,51.0,52.56,50.79,52.39,5863100,0.0,0
2020-06-03,55.06,57.26,54.95,57.14,7986000,0.0,0
2020-06-04,55.77,58.66,54.93,58.26,6713600,0.0,0
2020-06-05,64.09,66.77,60.25,60.62,9503200,0.0,0
2020-06-08,64.41,64.41,60.86,61.29,6063000,0.0,0
2020-06-09,58.51,60.02,57.55,58.85,5379000,0.0,0
2020-06-10,58.2,58.8,54.96,54.96,6288800,0.0,0
2020-06-11,52.0,52.98,48.91,49.41,6802100,0.0,0
2020-06-12,53.0,53.37,49.97,52.99,4579500,0.0,0
