Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,160.01,162.88,157.12,159.89,4117300,0,0
2020-05-14,158.11,161.8,157.6,161.66,2590200,0,0
2020-05-15,159.56,163.94,159.41,163.85,5586100,0,0
2020-05-18,165.29,166.87,161.94,162.24,3436100,0,0
2020-05-19,161.93,163.06,158.82,159.12,2513900,0,0
2020-05-20,160.79,161.2,158.88,158.99,2110200,0,0
2020-05-21,158.17,158.62,156.33,157.66,2278800,0,0
2020-05-22,157.76,158.68,156.52,158.26,1483300,0,0
2020-05-26,162.22,162.49,157.83,158.58,3097600,0,0
2020-05-27,157.4,160.78,155.61,160.78,3110700,0,0
2020-05-28,162.28,166.17,162.0,163.97,3088400,0,0
2020-05-29,164.92,167.06,163.14,166.61,5328900,0,0
2020-06-01,165.74,166.33,164.43,165.38,1512200,0,0
2020-06-02,165.72,166.96,164.31,166.96,2959300,0,0
2020-06-03,167.9,169.64,166.21,169.64,4064600,0,0
2020-06-04,169.0,170.64,168.04,168.79,2599700,0,0
2020-06-05,170.06,174.1,168.62,173.23,3034200,0,0
2020-06-08,171.49,173.23,170.97,171.51,2819000,0,0
2020-06-09,172.37,173.21,169.19,169.45,2379100,0,0
2020-06-10,170.23,174.52,170.23,172.69,2561200,0,0
2020-06-11,171.97,172.37,164.51,164.9,3296800,0,0
2020-06-12,167.75,171.19,165.25,168.38,3292300,0,0
