Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,104.5,104.54,101.6,102.92,21085800,0,0
2020-05-14,101.98,105.92,99.66,105.91,22002200,0,0
2020-05-15,104.98,109.38,104.27,109.05,29766000,0,0
2020-05-18,114.47,119.78,114.47,116.85,40075700,0,0
2020-05-19,115.1,116.47,113.42,114.37,20332600,0,0
2020-05-20,116.42,120.87,116.04,119.92,25749900,0,0
2020-05-21,119.34,120.3,116.5,117.83,17578300,0,0
2020-05-22,117.5,118.57,116.83,118.02,9288200,0,0
2020-05-26,121.05,122.51,120.43,120.95,16466400,0,0
2020-05-27,123.68,123.78,119.71,121.53,19345400,0,0
2020-05-28,121.6,121.98,116.0,116.75,18606000,0,0
2020-05-29,116.19,117.75,114.12,117.3,17845800,0,0
2020-06-01,117.26,119.65,116.93,118.77,10538300,0,0
2020-06-02,119.0,119.85,117.83,118.75,10753100,0,0
2020-06-03,119.99,122.45,119.32,122.18,12584300,0,0
2020-06-04,121.95,124.5,121.85,123.69,14195100,0,0
2020-06-05,126.31,127.82,124.28,124.82,16581600,0,0
2020-06-08,125.1,127.44,123.94,127.28,13858100,0,0
2020-06-09,125.63,125.79,123.51,123.89,10882800,0,0
2020-06-10,124.02,124.1,120.93,122.18,11497100,0,0
2020-06-11,117.6,118.0,112.25,112.64,26078800,0,0
2020-06-12,115.17,117.0,112.89,115.49,18355400,0,0
