Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,19.71,19.73,18.7,19.13,6004900,0,0
2020-05-14,18.88,20.56,18.56,20.54,12729100,0,0
2020-05-15,20.2,20.74,19.96,20.47,4705800,0,0
2020-05-18,21.13,21.63,20.93,21.28,5497000,0,0
2020-05-19,21.15,21.49,20.71,21.05,3934500,0,0
2020-05-20,21.41,21.78,21.0,21.17,3251900,0,0
2020-05-21,21.07,21.29,20.61,20.67,4314300,0,0
2020-05-22,20.75,20.95,20.21,20.3,4316600,0,0
2020-05-26,21.11,22.06,20.86,21.92,5659700,0,0
2020-05-27,22.26,23.1,22.07,22.62,6310900,0,0
2020-05-28,22.83,22.92,21.88,21.97,4259200,0,0
2020-05-29,21.61,21.87,21.04,21.75,5733800,0,0
2020-06-01,21.81,22.23,21.72,21.95,2886800,0,0
2020-06-02,22.34,22.37,21.76,21.83,4079400,0,0
2020-06-03,22.14,22.8,22.13,22.27,4604000,0,0
2020-06-04,22.23,23.12,21.81,23.09,4290800,0,0
2020-06-05,24.16,24.89,23.72,24.78,8410000,0,0
2020-06-08,25.09,26.27,25.04,26.15,8251400,0,0
2020-06-09,25.3,25.53,23.51,23.88,6824500,0,0
2020-06-10,23.77,23.89,22.73,23.17,4017200,0,0
2020-06-11,21.77,22.7,21.64,22.34,7020600,0,0
2020-06-12,23.18,23.22,21.38,22.07,6885900,0,0
