Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,17.73,17.89,16.97,17.34,2541500,0,0
2020-05-14,17.05,18.52,16.8,18.5,3396300,0,0
2020-05-15,18.38,18.84,18.04,18.72,1961600,0,0
2020-05-18,19.41,19.78,19.14,19.3,2165200,0,0
2020-05-19,19.18,19.58,18.83,19.14,1491300,0,0
2020-05-20,19.34,19.72,19.01,19.11,2773600,0,0
2020-05-21,18.97,19.23,18.59,18.65,1934800,0,0
2020-05-22,18.73,18.9,18.29,18.36,1186300,0,0
2020-05-26,19.05,19.9,18.86,19.79,2481800,0,0
2020-05-27,20.0,20.9,19.93,20.53,2044500,0,0
2020-05-28,20.63,20.67,19.9,19.93,1947500,0,0
2020-05-29,19.72,19.85,19.07,19.59,2985100,0,0
2020-06-01,19.75,20.12,19.66,19.85,1803900,0,0
2020-06-02,20.0,20.18,19.61,19.68,1655400,0,0
2020-06-03,19.95,20.55,19.82,20.22,1997300,0,0
2020-06-04,20.1,20.88,19.75,20.86,2112800,0,0
2020-06-05,21.75,22.53,21.44,22.35,3684700,0,0
2020-06-08,22.53,23.62,22.53,23.42,3234000,0,0
2020-06-09,23.01,23.01,21.25,21.52,2333600,0,0
2020-06-10,21.4,21.6,20.48,20.83,2455000,0,0
2020-06-11,19.74,20.34,19.46,19.99,3107200,0,0
2020-06-12,20.62,20.77,19.11,19.7,2746800,0,0
