Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,76.09,76.42,73.55,74.46,1840100,0,0
2020-05-14,75.33,75.56,72.12,75.53,2216500,0,0
2020-05-15,75.28,76.21,74.65,75.07,1974900,0,0
2020-05-18,77.41,78.89,76.88,78.59,2976300,0,0
2020-05-19,78.73,81.2,78.71,79.99,2072900,0,0
2020-05-20,80.6,81.63,79.51,79.61,2380800,0,0
2020-05-21,79.16,81.26,78.83,81.22,1643000,0,0
2020-05-22,81.41,82.41,79.78,81.7,2403600,0,0
2020-05-26,84.15,85.43,83.58,85.2,3583900,0,0
2020-05-27,87.0,88.17,85.88,87.53,4501500,0,0
2020-05-28,96.86,99.82,95.05,97.64,13547000,0,0
2020-05-29,97.02,99.31,96.06,97.87,3934700,0,0
2020-06-01,97.41,98.0,95.58,96.25,3060400,0,0
2020-06-02,96.75,99.61,96.75,96.98,3926000,0,0
2020-06-03,97.73,98.08,94.54,94.57,2375600,0,0
2020-06-04,94.26,95.96,92.24,93.26,2674800,0,0
2020-06-05,94.8,95.25,92.34,92.9,3719800,0,0
2020-06-08,92.73,94.05,91.81,93.73,3192600,0,0
2020-06-09,93.74,93.96,92.27,92.58,2432500,0,0
2020-06-10,92.66,93.0,91.04,91.47,2687800,0,0
2020-06-11,90.47,90.94,88.85,89.1,2505600,0,0
2020-06-12,89.85,90.25,86.13,87.77,2799600,0,0
