Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,86.01,86.14,82.25,82.99,778700,0.0,0
2020-05-14,81.55,85.36,79.47,85.06,852900,0.0,0
2020-05-15,84.39,85.33,83.68,84.51,949800,0.0,0
2020-05-18,88.48,90.9,87.82,90.06,1247900,0.0,0
2020-05-19,89.67,90.92,88.35,89.11,723100,0.0,0
2020-05-20,90.73,92.03,90.34,90.58,496300,0.0,0
2020-05-21,90.16,91.31,90.08,90.38,538800,0.0,0
2020-05-22,90.58,90.58,88.68,89.32,866200,0.0,0
2020-05-26,92.36,95.37,91.84,94.31,969000,0.0,0
2020-05-27,96.65,97.39,95.06,96.78,781800,0.0,0
2020-05-28,98.0,98.07,95.89,97.03,1468900,0.49,0
2020-05-29,96.24,97.6,95.44,97.25,1203900,0.0,0
2020-06-01,97.44,98.56,96.88,97.75,738800,0.0,0
2020-06-02,98.69,99.71,97.92,99.25,850700,0.0,0
2020-06-03,102.88,104.31,101.41,103.47,968000,0.0,0
2020-06-04,101.69,104.04,101.43,103.52,889000,0.0,0
2020-06-05,107.82,109.53,106.52,107.6,819900,0.0,0
2020-06-08,107.69,109.46,107.55,108.97,825000,0.0,0
2020-06-09,106.95,107.84,105.52,106.67,747400,0.0,0
2020-06-10,106.4,106.51,102.87,102.88,703700,0.0,0
2020-06-11,99.42,99.86,96.09,96.2,784700,0.0,0
2020-06-12,100.1,100.1,94.0,96.61,1077100,0.0,0
