Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,32.91,32.97,31.23,31.78,5865200,0.0,0
2020-05-14,30.64,32.96,30.36,32.92,6187900,0.0,0
2020-05-15,32.63,33.38,32.25,32.97,4829200,0.0,0
2020-05-18,35.25,37.34,35.08,36.09,8546600,0.0,0
2020-05-19,35.99,36.04,34.95,35.01,4415500,0.0,0
2020-05-20,35.7,36.35,35.13,35.54,5656200,0.0,0
2020-05-21,35.37,36.11,35.03,35.19,3941800,0.0,0
2020-05-22,35.05,35.54,34.75,35.49,3040600,0.0,0
2020-05-26,37.69,38.27,37.25,38.11,6188600,0.0,0
2020-05-27,39.25,39.95,38.34,39.12,6895200,0.0,0
2020-05-28,39.57,39.69,38.35,38.71,5266800,0.7,0
2020-05-29,38.14,38.99,37.72,38.6,5254700,0.0,0
2020-06-01,38.61,39.01,38.18,38.61,3014400,0.0,0
2020-06-02,39.2,41.23,39.09,40.6,6083400,0.0,0
2020-06-03,41.49,42.3,41.46,41.63,5160600,0.0,0
2020-06-04,41.5,42.76,41.32,42.71,3901500,0.0,0
2020-06-05,44.71,45.73,43.84,43.97,7656600,0.0,0
2020-06-08,44.08,45.93,44.08,45.9,5727300,0.0,0
2020-06-09,44.47,44.82,43.92,44.41,5535400,0.0,0
2020-06-10,44.39,44.5,43.4,43.58,4267700,0.0,0
2020-06-11,41.22,42.04,38.95,39.26,9225100,0.0,0
2020-06-12,41.82,41.92,39.99,41.23,5033800,0.0,0
