Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,31.17,31.36,30.31,30.41,3010100,0.235,0
2020-05-14,29.88,30.49,28.8,30.49,3391500,0.0,0
2020-05-15,30.18,31.12,29.58,30.83,8012900,0.0,0
2020-05-18,31.97,32.71,31.95,32.45,3407400,0.0,0
2020-05-19,32.32,32.61,31.84,31.87,1787300,0.0,0
2020-05-20,32.72,32.95,32.36,32.66,3516000,0.0,0
2020-05-21,32.48,33.37,32.48,33.04,2196200,0.0,0
2020-05-22,32.97,33.35,32.9,33.28,1685900,0.0,0
2020-05-26,34.49,34.64,33.81,34.12,2029300,0.0,0
2020-05-27,34.89,35.11,33.52,34.13,7312600,0.0,0
2020-05-28,34.68,35.01,34.19,34.83,2527800,0.0,0
2020-05-29,34.43,34.88,34.15,34.48,5490300,0.0,0
2020-06-01,34.57,35.46,34.43,35.2,2063200,0.0,0
2020-06-02,35.44,35.95,35.15,35.64,2642000,0.0,0
2020-06-03,36.0,36.74,35.86,36.59,2239900,0.0,0
2020-06-04,36.27,36.33,35.65,36.15,2823900,0.0,0
2020-06-05,37.16,37.44,36.28,36.81,3560700,0.0,0
2020-06-08,36.73,37.41,36.69,37.21,2854200,0.0,0
2020-06-09,36.8,37.06,36.38,36.9,1850900,0.0,0
2020-06-10,36.78,36.78,35.65,35.65,1844700,0.0,0
2020-06-11,34.48,35.41,34.36,34.53,3676100,0.0,0
2020-06-12,35.6,35.81,34.64,35.35,3858300,0.0,0
