Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,69.57,69.65,63.42,65.88,3964800,0,0
2020-05-14,63.0,67.23,61.21,66.66,3676700,0,0
2020-05-15,66.0,70.11,65.35,69.61,2528900,0,0
2020-05-18,74.54,76.56,74.35,75.45,2982900,0,0
2020-05-19,75.0,78.0,72.62,75.82,3251300,0,0
2020-05-20,78.0,78.93,76.35,78.32,3942500,0,0
2020-05-21,78.01,78.24,75.58,77.22,2855400,0,0
2020-05-22,77.69,77.98,75.14,75.63,2551900,0,0
2020-05-26,79.71,80.79,78.01,78.47,3052800,0,0
2020-05-27,81.45,81.7,78.27,81.56,3074000,0,0
2020-05-28,82.4,82.4,78.75,79.5,2835400,0,0
2020-05-29,78.07,79.47,75.87,76.86,4405600,0,0
2020-06-01,77.0,79.35,76.86,78.31,2337100,0,0
2020-06-02,78.95,79.56,77.14,78.12,1996100,0,0
2020-06-03,79.27,86.51,79.02,85.93,4058200,0,0
2020-06-04,85.35,88.22,83.82,86.04,3023900,0,0
2020-06-05,91.87,92.07,84.96,85.59,3542100,0,0
2020-06-08,88.82,88.82,83.45,84.74,3906100,0,0
2020-06-09,82.8,82.8,79.6,80.89,3284600,0,0
2020-06-10,80.78,80.94,76.72,77.77,2890600,0,0
2020-06-11,72.0,75.37,70.78,72.93,4509700,0,0
2020-06-12,76.24,76.66,71.92,75.94,3045600,0,0
