Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,97.58,97.58,94.08,95.03,1870800,0.0,0
2020-05-14,93.79,97.14,91.5,97.05,1501600,0.0,0
2020-05-15,96.19,96.47,94.18,96.41,2760800,0.0,0
2020-05-18,100.26,103.19,99.67,102.24,1367100,0.0,0
2020-05-19,101.54,103.14,100.89,101.87,1404600,0.0,0
2020-05-20,103.23,103.85,101.7,102.25,1400100,0.0,0
2020-05-21,101.7,102.58,99.85,100.07,1196700,0.0,0
2020-05-22,100.09,101.19,99.9,101.13,803800,0.0,0
2020-05-26,103.89,105.74,103.34,104.33,1080200,0.0,0
2020-05-27,106.89,107.38,103.78,105.47,1244000,0.0,0
2020-05-28,107.4,107.68,106.3,106.72,1092600,0.0,0
2020-05-29,105.8,107.6,104.39,106.53,2275200,0.0,0
2020-06-01,106.54,108.48,106.26,107.37,915500,0.0,0
2020-06-02,108.16,109.9,107.61,109.34,1135900,0.0,0
2020-06-03,110.48,112.66,110.22,111.95,784000,0.0,0
2020-06-04,111.24,111.38,108.27,110.06,952300,0.0,0
2020-06-05,114.13,116.28,113.62,113.76,1124700,0.0,0
2020-06-08,114.06,116.77,114.06,116.28,1219800,0.0,0
2020-06-09,114.82,114.82,111.91,113.89,1380300,0.0,0
2020-06-10,112.98,113.66,111.16,111.85,1377500,0.0,0
2020-06-11,107.67,108.44,103.01,103.99,1454700,0.0,0
2020-06-12,107.02,107.44,103.13,105.07,1069900,1.013,0
