Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,80.61,81.15,79.69,80.94,3998300,0.0,0
2020-05-14,80.0,82.39,79.72,82.3,3649300,0.945,0
2020-05-15,81.48,81.79,80.17,81.19,5250700,0.0,0
2020-05-18,82.69,85.44,82.58,84.92,6747800,0.0,0
2020-05-19,84.38,84.38,83.25,83.29,3020800,0.0,0
2020-05-20,83.95,84.09,83.14,83.31,2710900,0.0,0
2020-05-21,83.06,83.77,82.01,82.34,3108000,0.0,0
2020-05-22,82.19,83.32,81.89,83.23,2760600,0.0,0
2020-05-26,84.46,84.67,82.69,82.81,3910200,0.0,0
2020-05-27,84.12,84.2,82.69,83.72,3606600,0.0,0
2020-05-28,84.85,86.1,84.68,85.83,3957600,0.0,0
2020-05-29,85.54,86.37,84.67,85.63,4018500,0.0,0
2020-06-01,85.84,87.58,85.23,87.44,2438800,0.0,0
2020-06-02,87.82,88.1,86.6,87.67,3446800,0.0,0
2020-06-03,88.33,89.65,88.0,89.23,2449600,0.0,0
2020-06-04,88.8,89.38,87.48,88.44,3640800,0.0,0
2020-06-05,89.4,91.56,89.15,89.49,3353300,0.0,0
2020-06-08,89.46,92.2,89.11,91.91,2771000,0.0,0
2020-06-09,91.0,91.07,88.93,90.32,3023400,0.0,0
2020-06-10,90.41,90.95,89.5,90.19,2721400,0.0,0
2020-06-11,88.8,89.05,86.34,87.08,4974100,0.0,0
2020-06-12,88.93,88.99,85.73,86.74,3935700,0.0,0
