Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,79.06,79.9,77.69,78.99,1140500,0,0
2020-05-14,78.35,78.35,76.32,78.14,1093000,0,0
2020-05-15,77.75,79.46,77.25,79.25,694500,0,0
2020-05-18,81.03,82.79,80.5,80.71,876900,0,0
2020-05-19,80.19,80.71,78.86,80.21,1019600,0,0
2020-05-20,80.73,82.11,79.61,79.97,727500,0,0
2020-05-21,79.84,79.99,78.23,78.73,891300,0,0
2020-05-22,78.9,79.07,76.52,76.81,917300,0,0
2020-05-26,78.16,79.78,77.75,78.02,1098400,0,0
2020-05-27,78.22,78.95,76.13,78.71,1445500,0,0
2020-05-28,79.5,80.82,79.18,79.47,1080100,0,0
2020-05-29,79.95,81.13,78.36,80.96,2024700,0,0
2020-06-01,80.86,81.55,78.87,80.34,804500,0,0
2020-06-02,80.31,80.86,79.06,80.86,816600,0,0
2020-06-03,80.76,81.52,79.32,79.72,979200,0,0
2020-06-04,78.96,82.41,78.96,82.39,1958700,0,0
2020-06-05,82.8,88.7,82.8,88.28,2849000,0,0
2020-06-08,87.9,89.39,85.03,87.0,2208400,0,0
2020-06-09,86.63,86.63,83.39,84.5,1226200,0,0
2020-06-10,84.5,84.92,80.92,82.9,1203000,0,0
2020-06-11,81.02,82.17,79.25,79.95,1364200,0,0
2020-06-12,81.75,81.83,76.94,78.25,1306200,0,0
