Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,117.07,119.16,114.52,116.9,3079200,0,0
2020-05-14,116.5,117.26,114.46,117.12,2802800,0,0
2020-05-15,116.22,118.9,116.11,118.13,3268100,0,0
2020-05-18,116.71,117.92,114.73,117.12,4336300,0,0
2020-05-19,116.77,119.37,116.72,118.54,2517900,0,0
2020-05-20,119.1,121.76,119.06,119.55,3530400,0,0
2020-05-21,119.88,119.88,117.2,117.36,2257100,0,0
2020-05-22,117.22,120.01,116.62,119.82,2287300,0,0
2020-05-26,120.44,120.48,116.19,116.64,3260800,0,0
2020-05-27,115.07,117.76,111.11,117.38,4978700,0,0
2020-05-28,117.99,122.1,116.77,121.35,4752400,0,0
2020-05-29,122.29,123.14,119.27,122.88,4571900,0,0
2020-06-01,123.28,124.28,122.37,122.78,2036400,0,0
2020-06-02,123.25,123.53,120.68,122.36,2357800,0,0
2020-06-03,122.15,122.15,117.19,117.93,3813000,0,0
2020-06-04,117.48,119.11,116.05,117.18,2905300,0,0
2020-06-05,115.44,119.2,113.28,118.32,3355300,0,0
2020-06-08,116.5,119.58,115.89,119.51,3500100,0,0
2020-06-09,120.1,121.76,118.54,121.07,2346000,0,0
2020-06-10,122.15,125.66,121.46,124.81,3956100,0,0
2020-06-11,124.66,127.54,121.94,122.42,3509300,0,0
2020-06-12,123.1,124.76,119.81,121.97,2525400,0,0
