Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,41.63,42.23,40.9,41.43,11041700,0.0,0
2020-05-14,41.16,41.94,40.66,41.89,11165100,0.0,0
2020-05-15,41.31,42.32,41.23,41.96,13183200,0.0,0
2020-05-18,42.45,42.74,42.18,42.35,8882200,0.0,0
2020-05-19,42.31,43.02,42.24,42.25,13600300,0.0,0
2020-05-20,42.84,43.18,42.29,42.56,9282500,0.0,0
2020-05-21,42.6,42.77,42.09,42.32,8281700,0.0,0
2020-05-22,42.1,43.34,42.06,43.29,9879700,0.0,0
2020-05-26,43.83,44.12,43.15,43.2,9548900,0.0,0
2020-05-27,43.14,44.02,42.7,43.99,8706500,0.0,0
2020-05-28,43.98,44.82,43.85,44.07,12476300,0.0,0
2020-05-29,44.3,45.65,43.88,45.54,18741500,0.16,0
2020-06-01,45.4,45.97,45.01,45.2,8931500,0.0,0
2020-06-02,45.24,46.23,45.14,45.98,9959000,0.0,0
2020-06-03,46.35,46.72,46.08,46.45,7599200,0.0,0
2020-06-04,51.34,51.88,48.8,49.36,32274600,0.0,0
2020-06-05,49.24,49.7,48.24,48.82,16332600,0.0,0
2020-06-08,48.3,49.05,47.84,48.72,12182400,0.0,0
2020-06-09,48.87,50.0,48.57,49.75,9699800,0.0,0
2020-06-10,50.25,50.34,49.07,49.25,10545900,0.0,0
2020-06-11,49.43,49.82,47.69,47.94,10563900,0.0,0
2020-06-12,48.39,48.83,46.85,47.66,10055400,0.0,0
