Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,144.62,144.91,140.78,142.53,921700,0.0,0
2020-05-14,141.11,144.79,140.42,144.66,879500,0.0,0
2020-05-15,143.12,145.08,141.95,144.04,1478600,0.0,0
2020-05-18,147.85,148.73,144.75,145.72,1085600,0.0,0
2020-05-19,145.66,147.53,145.34,145.83,729400,0.0,0
2020-05-20,147.61,150.59,147.61,149.12,871900,0.0,0
2020-05-21,148.25,149.2,146.08,146.7,608400,0.39,0
2020-05-22,146.08,147.88,146.08,147.03,734600,0.0,0
2020-05-26,149.72,153.76,149.04,151.25,1125300,0.0,0
2020-05-27,152.96,154.23,149.62,150.9,1808800,0.0,0
2020-05-28,152.66,155.97,151.36,154.0,1749800,0.0,0
2020-05-29,154.83,155.2,151.27,153.56,1431800,0.0,0
2020-06-01,153.83,156.65,153.26,155.05,949800,0.0,0
2020-06-02,155.82,167.39,154.08,167.12,1638000,0.0,0
2020-06-03,168.72,174.08,166.71,174.01,1415900,0.0,0
2020-06-04,172.82,177.19,172.82,176.57,1224900,0.0,0
2020-06-05,178.76,179.74,174.52,177.01,1095500,0.0,0
2020-06-08,175.86,180.07,174.78,179.45,1074100,0.0,0
2020-06-09,177.91,177.93,172.63,175.03,1078000,0.0,0
2020-06-10,175.88,176.78,174.39,175.04,833400,0.0,0
2020-06-11,172.44,174.06,166.58,168.65,1002900,0.0,0
2020-06-12,172.31,173.39,164.39,167.98,793200,0.0,0
