Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,56.75,58.22,56.63,57.41,3159100,0,0
2020-05-14,56.41,57.66,55.35,57.52,2744200,0,0
2020-05-15,57.17,57.93,55.63,55.95,3172200,0,0
2020-05-18,57.58,58.0,57.03,57.18,3100800,0,0
2020-05-19,56.93,58.04,56.66,57.42,1585200,0,0
2020-05-20,57.68,58.05,55.9,56.26,3702300,0,0
2020-05-21,56.14,56.59,55.42,56.27,1564100,0,0
2020-05-22,56.27,56.64,55.83,56.43,1558300,0,0
2020-05-26,57.49,57.59,55.72,56.01,3070700,0,0
2020-05-27,57.02,57.84,56.33,57.05,3067400,0,0
2020-05-28,58.25,58.3,57.33,57.99,3512000,0,0
2020-05-29,57.75,58.54,57.16,58.11,3121400,0,0
2020-06-01,58.28,59.71,58.28,59.25,2600700,0,0
2020-06-02,59.59,60.4,59.27,59.86,1766400,0,0
2020-06-03,60.38,61.5,60.29,60.97,2583400,0,0
2020-06-04,60.81,61.07,58.72,59.06,2505500,0,0
2020-06-05,59.7,61.87,59.26,60.88,4574800,0,0
2020-06-08,61.37,64.92,61.18,64.76,4205000,0,0
2020-06-09,64.06,64.19,61.26,61.63,3871900,0,0
2020-06-10,61.59,61.97,60.24,60.34,2376900,0,0
2020-06-11,59.15,59.44,56.13,56.81,3849900,0,0
2020-06-12,58.03,58.55,56.75,57.57,3089600,0,0
