Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,166.85,168.45,162.01,162.76,1742900,0,0
2020-05-14,160.0,164.69,158.25,164.19,1712400,0,0
2020-05-15,163.74,170.78,163.03,169.41,2507300,0,0
2020-05-18,171.99,179.17,171.99,178.25,1706000,0,0
2020-05-19,178.27,178.95,174.48,174.58,1711100,0,0
2020-05-20,176.5,179.83,176.19,179.75,3102000,0,0
2020-05-21,179.79,181.0,177.35,177.88,1269700,0,0
2020-05-22,178.62,178.9,176.89,178.2,1031800,0,0
2020-05-26,183.79,186.79,182.48,186.43,2354000,0,0
2020-05-27,189.85,193.86,188.42,193.56,2088800,0,0
2020-05-28,194.27,199.05,192.19,192.48,2096900,0,0
2020-05-29,192.14,198.8,191.98,197.47,2937300,0,0
2020-06-01,199.16,201.72,198.43,200.43,1452100,0,0
2020-06-02,200.67,203.26,199.67,202.68,1582800,0,0
2020-06-03,204.68,205.0,201.73,203.24,1405400,0,0
2020-06-04,203.17,203.85,200.14,201.12,1288000,0,0
2020-06-05,203.3,206.52,201.51,205.17,1404900,0,0
2020-06-08,203.5,205.39,201.92,204.84,1211900,0,0
2020-06-09,203.04,203.68,200.01,200.72,1058900,0,0
2020-06-10,201.5,201.95,199.47,200.43,788100,0,0
2020-06-11,196.37,196.67,188.88,189.2,1241200,0,0
2020-06-12,191.74,193.72,187.91,191.38,1865200,0,0
