Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,52.72,52.89,50.88,51.4,3649400,0.0,0
2020-05-14,50.2,53.43,50.03,53.38,4718500,0.5,0
2020-05-15,52.95,54.46,52.82,52.94,8300000,0.0,0
2020-05-18,54.97,56.83,54.97,56.42,4306100,0.0,0
2020-05-19,56.03,57.16,55.38,55.7,2672600,0.0,0
2020-05-20,56.51,57.7,56.45,56.81,3218900,0.0,0
2020-05-21,56.88,57.04,55.93,56.25,2602900,0.0,0
2020-05-22,56.37,56.53,55.36,55.87,4231700,0.0,0
2020-05-26,58.26,59.65,57.79,59.27,3461700,0.0,0
2020-05-27,61.03,62.04,60.4,61.89,4238800,0.0,0
2020-05-28,62.31,62.41,60.51,61.03,3073400,0.0,0
2020-05-29,60.33,61.25,59.53,61.02,4713000,0.0,0
2020-06-01,60.81,61.23,60.12,60.4,2294900,0.0,0
2020-06-02,60.85,61.69,60.45,61.15,2580100,0.0,0
2020-06-03,62.24,63.16,62.0,62.92,2987700,0.0,0
2020-06-04,62.46,63.16,61.91,63.13,2606600,0.0,0
2020-06-05,66.05,67.5,65.44,67.1,4348300,0.0,0
2020-06-08,68.0,69.4,67.78,69.33,3853700,0.0,0
2020-06-09,67.7,68.12,66.8,67.51,3094800,0.0,0
2020-06-10,67.24,67.24,65.51,65.88,3717700,0.0,0
2020-06-11,62.64,63.16,60.4,60.46,4186200,0.0,0
2020-06-12,62.7,62.81,59.76,61.35,3067700,0.0,0
