Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,49.45,49.45,47.55,48.2,5768000,0,0
2020-05-14,47.14,48.96,45.91,47.56,5903800,0,0
2020-05-15,47.09,48.81,46.94,47.68,4004800,0,0
2020-05-18,50.5,52.68,50.01,52.44,6342000,0,0
2020-05-19,52.29,52.77,50.58,50.66,3559100,0,0
2020-05-20,51.65,53.39,51.51,52.65,3303600,0,0
2020-05-21,52.95,53.56,51.61,52.32,3881100,0,0
2020-05-22,52.21,52.38,50.95,52.28,2500200,0,0
2020-05-26,54.36,54.37,51.3,51.44,5685300,0,0
2020-05-27,52.28,52.74,50.33,52.73,3968600,0,0
2020-05-28,52.61,53.1,51.31,51.64,4688700,0,0
2020-05-29,51.48,51.48,49.93,50.97,6603500,0,0
2020-06-01,50.72,51.92,50.0,51.81,3263900,0,0
2020-06-02,52.5,54.85,52.35,54.81,4824400,0,0
2020-06-03,56.11,56.26,53.93,55.37,4638800,0,0
2020-06-04,55.0,55.69,54.15,55.15,4361200,0,0
2020-06-05,59.21,59.86,58.22,59.31,6327200,0,0
2020-06-08,61.97,62.43,59.1,62.11,6075100,0,0
2020-06-09,59.56,61.42,58.65,59.47,6336900,0,0
2020-06-10,58.03,58.11,55.6,55.63,6349300,0,0
2020-06-11,51.77,54.93,51.07,51.15,5890600,0,0
2020-06-12,53.85,54.18,50.66,52.57,4552500,0,0
