Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,660.82,683.57,660.59,676.07,1572000,0.0,0
2020-05-14,676.89,679.43,643.31,656.61,800500,0.0,0
2020-05-15,654.24,659.69,643.98,656.01,564600,0.0,0
2020-05-18,678.02,678.02,656.74,659.72,586600,0.0,0
2020-05-19,663.0,669.98,649.2,650.13,455600,2.66,0
2020-05-20,653.54,656.21,647.11,655.48,590200,0.0,0
2020-05-21,650.0,653.77,639.43,644.4,512300,0.0,0
2020-05-22,643.11,671.41,641.92,670.02,503000,0.0,0
2020-05-26,681.1,685.0,656.59,658.01,573200,0.0,0
2020-05-27,666.56,676.35,646.56,675.54,555400,0.0,0
2020-05-28,681.67,694.8,676.74,693.35,441200,0.0,0
2020-05-29,697.18,700.49,685.37,697.63,589300,0.0,0
2020-06-01,699.87,716.32,696.83,710.17,447200,0.0,0
2020-06-02,718.33,718.33,687.94,696.69,621400,0.0,0
2020-06-03,691.69,696.02,682.59,688.99,436700,0.0,0
2020-06-04,680.86,688.03,660.19,665.18,508300,0.0,0
2020-06-05,662.74,675.09,647.76,673.5,828400,0.0,0
2020-06-08,661.68,676.62,661.68,676.24,563500,0.0,0
2020-06-09,679.88,694.07,675.4,691.22,525800,0.0,0
2020-06-10,695.23,699.87,680.51,695.53,473400,0.0,0
2020-06-11,693.19,693.19,659.79,660.7,582100,0.0,0
2020-06-12,668.69,680.0,663.44,676.64,539300,0.0,0
