Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,74.54,76.41,74.35,76.09,1711400,0.0,0
2020-05-14,75.53,76.9,73.09,76.72,1788700,0.0,0
2020-05-15,75.46,76.23,73.83,75.85,4749300,0.0,0
2020-05-18,78.24,79.76,77.38,79.23,1579600,0.0,0
2020-05-19,78.82,79.33,77.98,78.23,1466700,0.568,0
2020-05-20,78.91,80.17,78.31,79.4,1360700,0.0,0
2020-05-21,79.11,79.43,78.3,78.82,1655200,0.0,0
2020-05-22,78.8,79.75,77.95,78.46,1053500,0.0,0
2020-05-26,79.79,79.83,77.76,78.01,1393000,0.0,0
2020-05-27,79.06,79.06,75.91,77.47,1889400,0.0,0
2020-05-28,78.69,81.14,78.14,80.89,1882800,0.0,0
2020-05-29,80.57,84.19,80.57,83.7,3700600,0.0,0
2020-06-01,83.77,86.18,83.2,85.58,1931900,0.0,0
2020-06-02,86.14,86.46,84.61,85.77,1813900,0.0,0
2020-06-03,86.36,88.27,86.01,86.92,1571600,0.0,0
2020-06-04,86.27,86.74,84.32,85.53,1203800,0.0,0
2020-06-05,86.13,87.73,85.34,86.52,1669500,0.0,0
2020-06-08,86.41,87.98,85.53,87.76,1456200,0.0,0
2020-06-09,87.18,87.18,84.57,85.27,1407300,0.0,0
2020-06-10,85.46,86.92,85.4,86.26,1428600,0.0,0
2020-06-11,86.0,86.18,83.15,84.35,2812000,0.0,0
2020-06-12,85.55,86.17,83.19,84.31,2108300,0.0,0
