Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,226.24,231.75,225.01,230.78,621700,0,0
2020-05-14,227.52,228.6,219.16,225.01,479400,0,0
2020-05-15,223.77,227.53,218.53,226.55,1005100,0,0
2020-05-18,235.69,244.23,235.6,240.6,529500,0,0
2020-05-19,240.53,241.86,230.83,230.99,439200,0,0
2020-05-20,233.42,236.08,230.9,235.86,327400,0,0
2020-05-21,235.49,240.67,233.05,235.43,246900,0,0
2020-05-22,235.1,236.95,232.83,236.41,288500,0,0
2020-05-26,246.55,249.56,243.32,247.21,344000,0,0
2020-05-27,252.71,254.23,244.72,248.04,380900,0,0
2020-05-28,250.53,250.53,243.43,248.86,401300,0,0
2020-05-29,246.56,247.55,242.0,242.77,562800,0,0
2020-06-01,242.71,248.99,241.41,246.91,359900,0,0
2020-06-02,249.63,250.76,246.27,246.79,463400,0,0
2020-06-03,249.94,254.26,249.43,253.06,379900,0,0
2020-06-04,251.09,252.27,243.49,250.48,397700,0,0
2020-06-05,259.3,267.77,259.03,262.52,759500,0,0
2020-06-08,266.63,276.44,266.44,276.2,698700,0,0
2020-06-09,270.29,272.02,266.25,268.04,432500,0,0
2020-06-10,266.08,267.01,258.46,260.3,397100,0,0
2020-06-11,250.12,252.37,243.74,246.09,625600,0,0
2020-06-12,248.98,252.96,239.12,249.68,735100,0,0
