Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-12,,,,,,0.14,0
2020-05-13,39.01,39.29,37.58,37.89,2469700.0,0.0,0
2020-05-14,37.03,38.92,36.42,38.8,1871900.0,0.0,0
2020-05-15,38.28,38.77,37.95,38.33,2380000.0,0.0,0
2020-05-18,39.98,41.83,39.7,41.41,3081900.0,0.0,0
2020-05-19,41.03,41.62,40.34,40.37,1727100.0,0.0,0
2020-05-20,41.12,42.36,41.09,42.14,1946600.0,0.0,0
2020-05-21,41.81,41.98,40.93,41.38,1892600.0,0.0,0
2020-05-22,41.44,41.6,40.86,41.16,1464300.0,0.0,0
2020-05-26,42.79,44.94,42.6,44.8,3165700.0,0.0,0
2020-05-27,46.51,48.2,46.51,48.15,6132700.0,0.0,0
2020-05-28,48.48,48.63,45.5,45.65,3169800.0,0.0,0
2020-05-29,45.0,46.03,44.82,45.54,3743800.0,0.0,0
2020-06-01,45.72,46.32,45.1,45.97,2531400.0,0.0,0
2020-06-02,46.31,47.53,46.13,46.92,3032600.0,0.0,0
2020-06-03,48.02,48.83,47.75,48.28,1426900.0,0.0,0
2020-06-04,48.07,50.14,47.95,50.11,2273100.0,0.0,0
2020-06-05,52.78,53.43,50.71,51.06,2587800.0,0.0,0
2020-06-08,52.03,52.17,50.91,51.73,1917500.0,0.0,0
2020-06-09,50.33,52.27,50.15,51.97,4202200.0,0.0,0
2020-06-10,51.59,52.03,50.12,50.17,1882200.0,0.0,0
2020-06-11,47.32,48.63,45.76,45.98,2960600.0,0.0,0
2020-06-12,48.09,48.36,46.5,47.68,2390300.0,0.0,0
