Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,95.29,96.0,93.3,94.11,2299600,0,0
2020-05-14,92.94,95.18,90.99,94.94,1573900,0,0
2020-05-15,94.45,95.47,92.5,94.98,2871200,0,0
2020-05-18,97.68,100.46,97.51,99.42,1264300,0,0
2020-05-19,98.94,99.32,96.56,96.56,842000,0,0
2020-05-20,97.57,98.53,96.86,97.59,751400,0,0
2020-05-21,97.51,98.32,97.2,97.63,1129200,0,0
2020-05-22,97.55,98.24,97.06,97.96,955500,0,0
2020-05-26,100.29,101.25,99.53,99.74,1121000,0,0
2020-05-27,101.33,101.48,98.27,99.47,812000,0,0
2020-05-28,100.95,103.38,100.41,103.07,1201900,0,0
2020-05-29,102.75,103.12,100.97,101.82,1820300,0,0
2020-06-01,101.62,103.8,101.25,102.68,943200,0,0
2020-06-02,102.72,103.58,101.48,103.53,1178700,0,0
2020-06-03,104.11,105.28,103.63,104.04,972500,0,0
2020-06-04,103.39,103.7,100.05,101.23,1039000,0,0
2020-06-05,103.82,106.48,103.09,103.73,1058700,0,0
2020-06-08,103.8,106.3,103.12,105.89,1133000,0,0
2020-06-09,104.49,104.54,102.52,103.34,1001400,0,0
2020-06-10,103.81,104.27,101.78,102.19,1092900,0,0
2020-06-11,100.01,100.08,95.99,96.77,1499200,0,0
2020-06-12,98.75,98.82,94.73,96.42,1690000,0,0
