Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,55.36,56.17,54.77,56.04,2552200,0.0,0
2020-05-14,55.34,56.34,54.29,56.19,2366400,0.0,0
2020-05-15,55.51,56.36,54.29,56.06,6097900,0.0,0
2020-05-18,57.63,58.81,57.52,58.41,1543600,0.0,0
2020-05-19,58.11,58.7,57.37,57.74,2451400,0.505,0
2020-05-20,58.54,59.68,58.4,59.11,3365700,0.0,0
2020-05-21,59.28,59.49,58.29,58.65,4285100,0.0,0
2020-05-22,59.19,60.01,58.82,60.0,2638300,0.0,0
2020-05-26,61.04,61.4,59.4,59.89,7803300,0.0,0
2020-05-27,60.88,61.35,59.92,60.93,1878000,0.0,0
2020-05-28,61.83,62.68,61.4,62.31,6062700,0.0,0
2020-05-29,61.85,62.48,61.11,61.69,2963400,0.0,0
2020-06-01,61.7,63.06,61.38,62.96,1969100,0.0,0
2020-06-02,63.14,63.43,62.62,63.04,2559500,0.0,0
2020-06-03,63.19,64.02,63.05,63.41,2522700,0.0,0
2020-06-04,63.87,63.9,61.7,62.41,1761600,0.0,0
2020-06-05,63.05,64.32,62.64,63.06,2359600,0.0,0
2020-06-08,63.01,65.4,62.56,65.1,2010900,0.0,0
2020-06-09,63.99,64.26,62.52,63.57,3414200,0.0,0
2020-06-10,63.53,64.22,62.86,63.43,1496000,0.0,0
2020-06-11,62.0,62.39,60.33,60.95,1742500,0.0,0
2020-06-12,61.76,62.19,59.83,60.08,2533100,0.0,0
