Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,72.95,73.91,71.84,72.8,1251100,0.0,0
2020-05-14,72.04,72.5,70.58,72.48,1292700,0.0,0
2020-05-15,71.81,72.97,70.8,71.02,4568400,0.0,0
2020-05-18,72.68,73.3,71.85,73.18,2126700,0.0,0
2020-05-19,73.53,73.53,71.36,71.43,1518000,0.0,0
2020-05-20,72.31,73.39,71.96,72.24,1451200,0.0,0
2020-05-21,71.78,72.39,71.56,71.69,886300,0.0,0
2020-05-22,71.56,71.75,70.6,71.56,900000,0.0,0
2020-05-26,72.7,73.96,71.95,73.16,1117100,0.0,0
2020-05-27,74.48,74.94,73.5,74.86,1192800,0.0,0
2020-05-28,74.98,75.88,74.61,75.14,1002500,0.0,0
2020-05-29,75.01,76.5,74.42,76.37,2016100,0.52,0
2020-06-01,76.0,76.36,73.63,75.59,853700,0.0,0
2020-06-02,76.19,77.19,76.07,77.16,1186900,0.0,0
2020-06-03,77.75,78.73,77.32,78.42,1290200,0.0,0
2020-06-04,78.34,78.99,77.24,77.61,1144700,0.0,0
2020-06-05,78.75,78.9,77.82,77.92,1318600,0.0,0
2020-06-08,77.64,78.9,77.43,77.92,1069000,0.0,0
2020-06-09,77.4,78.44,76.79,78.18,1209200,0.0,0
2020-06-10,78.61,78.61,77.56,77.91,1414000,0.0,0
2020-06-11,77.53,77.72,73.49,73.54,1698500,0.0,0
2020-06-12,74.4,75.33,72.29,73.57,1024600,0.0,0
