Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,64.64,64.75,60.6,62.01,4480500,0,0
2020-05-14,60.55,64.52,58.39,64.37,3616100,0,0
2020-05-15,63.72,67.16,62.86,66.76,2886900,0,0
2020-05-18,70.74,80.46,70.74,79.19,12336400,0,0
2020-05-19,77.36,79.45,76.34,76.35,4969000,0,0
2020-05-20,78.51,79.89,76.65,79.58,5891400,0,0
2020-05-21,82.59,83.11,75.14,77.01,11953500,0,0
2020-05-22,76.96,78.74,74.81,77.95,3481800,0,0
2020-05-26,83.35,86.35,82.13,82.82,6863900,0,0
2020-05-27,86.18,86.88,80.49,81.61,7131700,0,0
2020-05-28,81.81,81.98,78.01,78.78,6356100,0,0
2020-05-29,78.66,80.14,76.03,79.48,6801800,0,0
2020-06-01,79.5,83.17,78.84,82.42,3796100,0,0
2020-06-02,83.25,84.63,82.08,84.22,3968200,0,0
2020-06-03,86.18,89.77,86.16,89.14,6050100,0,0
2020-06-04,89.77,91.41,87.58,89.88,3662700,0,0
2020-06-05,94.54,95.26,91.12,93.06,6752500,0,0
2020-06-08,95.3,97.59,92.64,93.99,4695200,0,0
2020-06-09,91.12,91.85,88.51,88.7,4549900,0,0
2020-06-10,89.36,89.75,83.83,87.37,5757600,0,0
2020-06-11,81.78,83.73,77.3,77.73,6088600,0,0
2020-06-12,82.51,84.23,79.33,82.52,3883700,0,0
