Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,5.0,5.01,4.66,4.72,100192300,0,0
2020-05-14,4.64,4.92,4.52,4.89,108061100,0,0
2020-05-15,4.8,4.94,4.75,4.9,80544700,0,0
2020-05-18,5.12,5.33,5.12,5.31,136241400,0,0
2020-05-19,5.27,5.45,5.15,5.3,94836300,0,0
2020-05-20,5.38,5.54,5.37,5.49,87685400,0,0
2020-05-21,5.45,5.69,5.44,5.63,87098200,0,0
2020-05-22,5.68,5.73,5.5,5.65,76656500,0,0
2020-05-26,5.92,5.99,5.82,5.84,86046300,0,0
2020-05-27,6.01,6.09,5.84,6.03,110413900,0,0
2020-05-28,6.05,6.07,5.81,5.85,76930200,0,0
2020-05-29,5.75,5.8,5.57,5.71,93039200,0,0
2020-06-01,5.73,5.88,5.67,5.87,61879700,0,0
2020-06-02,5.96,6.0,5.83,5.9,80046000,0,0
2020-06-03,5.99,6.27,5.92,6.19,98876600,0,0
2020-06-04,6.2,6.58,6.12,6.57,115798600,0,0
2020-06-05,7.24,7.5,7.02,7.34,208648200,0,0
2020-06-08,7.53,7.74,7.37,7.53,113169300,0,0
2020-06-09,7.22,7.44,7.05,7.24,115749600,0,0
2020-06-10,7.33,7.34,6.77,6.81,147327100,0,0
2020-06-11,6.07,6.46,6.04,6.13,116184700,0,0
2020-06-12,6.56,6.63,6.3,6.46,88719000,0,0
