Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,40.14,40.14,37.21,37.79,3626200,0.375,0
2020-05-14,37.26,39.52,35.81,38.18,2732800,0.0,0
2020-05-15,38.38,39.78,38.01,38.78,2701900,0.0,0
2020-05-18,41.71,43.65,41.41,43.44,2909600,0.0,0
2020-05-19,43.77,44.2,41.82,41.84,2503800,0.0,0
2020-05-20,42.79,44.03,42.68,43.66,2104300,0.0,0
2020-05-21,43.63,44.24,42.06,42.89,1616800,0.0,0
2020-05-22,42.57,43.0,41.38,42.94,1773800,0.0,0
2020-05-26,44.49,45.44,43.78,44.9,2680900,0.0,0
2020-05-27,45.42,46.18,42.8,44.3,2796200,0.0,0
2020-05-28,44.6,44.72,42.5,43.02,1983000,0.0,0
2020-05-29,42.59,43.27,41.51,42.58,4330100,0.0,0
2020-06-01,42.3,44.06,41.38,43.73,2103300,0.0,0
2020-06-02,44.25,45.71,44.18,45.61,1941800,0.0,0
2020-06-03,46.58,47.82,45.63,47.58,2014500,0.0,0
2020-06-04,47.3,48.38,46.2,47.68,1697800,0.0,0
2020-06-05,51.58,53.41,50.59,52.21,4400900,0.0,0
2020-06-08,55.29,59.89,54.08,59.82,4506800,0.0,0
2020-06-09,57.25,57.27,53.3,53.92,4396800,0.0,0
2020-06-10,52.44,53.32,50.16,50.17,2612300,0.0,0
2020-06-11,44.9,47.78,44.23,44.36,3623300,0.0,0
2020-06-12,47.76,48.73,44.4,46.96,2636400,0.0,0
