Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,113.08,113.15,108.25,109.34,2905900,0,0
2020-05-14,107.36,109.18,103.4,109.11,3254700,0,0
2020-05-15,107.54,108.96,106.25,107.52,2940000,0,0
2020-05-18,113.49,120.0,112.79,119.19,3603900,0,0
2020-05-19,119.0,119.4,114.65,114.79,2484600,0,0
2020-05-20,116.8,119.48,115.83,117.01,2604100,0,0
2020-05-21,116.58,118.43,115.53,115.77,1740300,0,0
2020-05-22,115.75,117.56,114.92,117.0,2245900,0,0
2020-05-26,122.99,126.74,122.01,124.81,3823000,0,0
2020-05-27,128.0,130.78,125.5,130.43,3203000,0,0
2020-05-28,131.0,133.91,129.3,131.15,3238000,0,0
2020-05-29,130.19,130.89,126.44,130.56,3410100,0,0
2020-06-01,129.05,130.46,127.46,129.71,1990300,0,0
2020-06-02,130.83,134.59,130.71,134.2,2522000,0,0
2020-06-03,137.0,139.88,136.53,138.08,2728800,0,0
2020-06-04,137.3,139.25,135.65,139.21,2001300,0,0
2020-06-05,143.0,145.77,142.0,142.21,3583900,0,0
2020-06-08,144.94,149.99,144.14,149.38,2709900,0,0
2020-06-09,145.88,145.93,142.1,144.69,2253100,0,0
2020-06-10,144.0,144.41,140.32,140.4,2079600,0,0
2020-06-11,133.95,134.47,127.81,128.81,4389300,0,0
2020-06-12,134.59,135.0,129.14,132.72,2271700,0,0
