Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,39.43,39.55,38.72,39.05,3772500,0,0
2020-05-14,38.65,40.13,38.14,39.96,4154900,0,0
2020-05-15,39.57,39.94,38.63,39.29,7448100,0,0
2020-05-18,40.42,41.28,40.39,41.11,3001900,0,0
2020-05-19,40.92,41.11,40.33,40.36,2477800,0,0
2020-05-20,40.69,40.84,40.14,40.28,3012400,0,0
2020-05-21,40.11,40.73,40.03,40.43,2947400,0,0
2020-05-22,40.33,40.73,40.23,40.64,2802500,0,0
2020-05-26,41.43,41.62,40.64,40.71,2348200,0,0
2020-05-27,41.23,41.38,40.56,41.36,5103700,0,0
2020-05-28,42.05,42.82,41.75,42.69,3658700,0,0
2020-05-29,42.54,42.86,42.07,42.26,4659100,0,0
2020-06-01,42.13,42.95,41.9,42.76,2427100,0,0
2020-06-02,42.99,43.08,42.28,43.07,2844200,0,0
2020-06-03,43.42,43.91,43.18,43.49,2927700,0,0
2020-06-04,43.22,43.3,41.96,42.36,3406800,0,0
2020-06-05,42.88,43.86,42.78,43.27,3603600,0,0
2020-06-08,43.12,44.1,42.87,43.98,3009000,0,0
2020-06-09,43.63,43.63,42.78,42.89,2883500,0,0
2020-06-10,43.07,43.19,42.15,42.25,2604500,0,0
2020-06-11,41.64,41.64,40.22,40.5,3900500,0,0
2020-06-12,41.37,41.47,39.77,40.43,3934600,0,0
