Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,139.43,140.98,136.1,137.03,701200,0,0
2020-05-14,136.0,138.0,135.06,137.12,727800,0,0
2020-05-15,136.86,140.71,135.8,138.73,1552100,0,0
2020-05-18,141.51,142.65,140.44,141.17,630000,0,0
2020-05-19,141.81,141.97,138.77,138.93,532000,0,0
2020-05-20,139.97,142.27,139.75,140.38,567000,0,0
2020-05-21,140.33,140.7,137.06,137.14,490200,0,0
2020-05-22,136.96,137.59,134.93,137.31,880900,0,0
2020-05-26,141.14,141.76,138.01,139.11,807600,0,0
2020-05-27,139.93,145.39,139.19,145.27,994600,0,0
2020-05-28,145.47,146.0,142.21,142.25,783200,0,0
2020-05-29,143.53,145.14,140.81,144.92,922500,0,0
2020-06-01,144.74,146.48,142.42,145.82,710100,0,0
2020-06-02,146.63,147.37,144.49,146.54,589700,0,0
2020-06-03,145.92,147.43,145.45,146.09,550400,0,0
2020-06-04,146.09,146.09,141.22,142.89,935900,0,0
2020-06-05,144.11,146.95,143.72,145.14,456100,0,0
2020-06-08,145.86,147.64,144.84,146.28,536700,0,0
2020-06-09,145.74,146.0,143.82,143.92,387500,0,0
2020-06-10,144.76,147.83,142.63,146.02,700400,0,0
2020-06-11,144.03,144.03,137.46,137.51,778100,0,0
2020-06-12,140.61,142.64,137.54,140.32,544600,0,0
