Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,45.98,46.22,44.22,45.08,2503000,0.0,0
2020-05-14,44.49,44.56,43.1,44.35,2416300,0.0,0
2020-05-15,43.64,44.48,43.32,44.08,1468900,0.0,0
2020-05-18,46.33,46.53,44.51,45.86,2650800,0.0,0
2020-05-19,45.56,46.14,44.65,44.68,2723300,0.0,0
2020-05-20,45.28,46.24,44.85,45.58,1737500,0.0,0
2020-05-21,45.87,45.92,44.97,45.16,1101500,0.17,0
2020-05-22,45.15,45.44,44.53,45.06,1190400,0.0,0
2020-05-26,46.19,46.49,45.16,45.29,1460900,0.0,0
2020-05-27,45.5,45.72,43.72,44.05,2146200,0.0,0
2020-05-28,44.23,45.8,43.43,44.84,1641300,0.0,0
2020-05-29,44.71,46.29,44.28,46.2,2184500,0.0,0
2020-06-01,46.32,47.0,45.83,45.87,1386400,0.0,0
2020-06-02,46.23,46.64,45.58,46.39,1189500,0.0,0
2020-06-03,46.55,47.75,46.33,47.31,1255200,0.0,0
2020-06-04,47.01,47.33,46.56,46.93,1233700,0.0,0
2020-06-05,47.54,47.94,46.3,46.43,2004300,0.0,0
2020-06-08,46.97,47.33,46.39,46.59,2272700,0.0,0
2020-06-09,46.36,46.44,45.52,45.58,1561100,0.0,0
2020-06-10,46.41,46.41,44.39,44.47,2094700,0.0,0
2020-06-11,43.08,43.56,41.44,41.52,2183700,0.0,0
2020-06-12,42.56,42.93,40.7,41.26,1863000,0.0,0
