Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,227.51,228.34,213.0,215.15,1131700,0,0
2020-05-14,212.99,223.59,206.6,221.52,947900,0,0
2020-05-15,219.97,224.36,218.71,222.54,450600,0,0
2020-05-18,230.0,239.47,229.03,237.77,917000,0,0
2020-05-19,236.44,240.27,233.55,233.88,588900,0,0
2020-05-20,238.88,243.36,237.16,240.59,544000,0,0
2020-05-21,240.42,243.09,236.46,239.84,601900,0,0
2020-05-22,239.39,240.28,235.47,239.25,330400,0,0
2020-05-26,250.03,254.46,247.16,247.91,724700,0,0
2020-05-27,256.04,263.89,247.39,249.96,940600,0,0
2020-05-28,253.62,253.62,246.95,247.45,930400,0,0
2020-05-29,246.44,246.44,239.04,243.79,1003300,0,0
2020-06-01,244.1,248.33,242.87,246.43,675700,0,0
2020-06-02,248.5,250.42,246.69,249.89,844900,0,0
2020-06-03,253.3,257.14,250.72,256.72,1396900,0,0
2020-06-04,251.73,257.47,251.41,257.31,1089600,0,0
2020-06-05,265.26,283.4,263.66,282.43,2112500,0,0
2020-06-08,282.45,284.21,273.79,277.12,1386900,0,0
2020-06-09,274.81,278.24,270.5,276.61,853400,0,0
2020-06-10,276.77,276.81,270.72,273.27,856500,0,0
2020-06-11,263.16,265.21,255.64,256.42,1494700,0,0
2020-06-12,264.64,266.95,252.12,258.99,815200,0,0
