Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,139.31,139.86,133.91,137.16,1524300,0,0
2020-05-14,135.1,138.44,134.78,138.06,1455000,0,0
2020-05-15,136.79,144.03,136.01,143.43,1430600,0,0
2020-05-18,148.85,148.85,144.05,144.67,2511200,0,0
2020-05-19,144.0,147.57,144.0,144.82,1075500,0,0
2020-05-20,147.62,149.69,143.49,145.62,2170300,0,0
2020-05-21,144.83,146.0,142.5,143.38,1234100,0,0
2020-05-22,143.37,144.51,141.23,142.64,1711400,0,0
2020-05-26,144.36,145.48,137.1,137.53,2020600,0,0
2020-05-27,137.25,138.36,128.31,131.15,3360200,0,0
2020-05-28,131.46,137.48,129.93,134.67,1781200,0,0
2020-05-29,135.78,139.49,135.29,139.2,1734900,0,0
2020-06-01,139.81,146.63,139.21,144.75,2063800,0,0
2020-06-02,145.32,145.84,139.95,143.94,1386700,0,0
2020-06-03,145.0,145.69,141.66,142.89,1008100,0,0
2020-06-04,141.91,143.29,137.88,139.58,1087900,0,0
2020-06-05,137.96,141.64,135.49,140.48,1524400,0,0
2020-06-08,138.08,139.23,135.36,137.51,1488900,0,0
2020-06-09,137.5,137.7,135.04,135.92,1280700,0,0
2020-06-10,137.35,139.99,137.35,137.64,1138600,0,0
2020-06-11,136.39,137.97,131.34,131.73,1240300,0,0
2020-06-12,133.86,135.77,128.25,130.34,1151100,0,0
