Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,131.54,132.04,129.95,131.5,3236800,0,0
2020-05-14,130.0,134.31,129.11,132.91,2547600,0,0
2020-05-15,131.32,134.03,130.2,130.92,2975600,0,0
2020-05-18,136.23,140.45,134.99,139.48,1720100,0,0
2020-05-19,140.12,140.53,136.06,136.19,1415700,0,0
2020-05-20,137.85,138.42,136.55,136.99,1336300,0,0
2020-05-21,137.2,139.1,136.4,138.67,1271400,0,0
2020-05-22,139.3,139.3,136.6,138.57,884100,0,0
2020-05-26,143.08,146.05,142.56,144.65,1619500,0,0
2020-05-27,149.23,150.57,147.51,150.45,1901200,0,0
2020-05-28,152.17,152.45,148.03,148.49,1429400,0,0
2020-05-29,147.24,147.83,143.8,146.83,1611000,0,0
2020-06-01,146.75,148.8,146.48,147.27,957000,0,0
2020-06-02,148.33,149.97,147.37,149.32,1225600,0,0
2020-06-03,151.39,155.72,151.06,155.23,1284100,0,0
2020-06-04,155.22,157.44,153.87,157.09,1387700,0,0
2020-06-05,164.37,165.14,160.92,162.22,1969800,0,0
2020-06-08,164.15,168.33,164.02,167.78,1770800,0,0
2020-06-09,165.0,165.75,162.0,163.48,1389400,0,0
2020-06-10,162.81,162.81,157.97,158.05,1187000,0,0
2020-06-11,151.67,153.66,148.11,148.55,1864500,0,0
2020-06-12,153.33,153.68,147.4,149.2,1859500,0,0
