Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,6.0,6.02,5.48,5.79,235745300,0,0
2020-05-14,5.62,5.9,5.48,5.7,140205400,0,0
2020-05-15,5.61,5.66,5.48,5.49,128486200,0,0
2020-05-18,5.74,6.49,5.74,6.27,255278700,0,0
2020-05-19,6.29,6.37,6.09,6.21,108485100,0,0
2020-05-20,6.33,6.47,6.29,6.42,91287400,0,0
2020-05-21,6.42,6.55,6.33,6.48,98821100,0,0
2020-05-22,6.48,6.48,6.27,6.41,69586200,0,0
2020-05-26,6.79,6.94,6.79,6.8,129510700,0,0
2020-05-27,7.25,7.43,7.09,7.29,147750900,0,0
2020-05-28,7.49,7.49,6.74,6.78,138714800,0,0
2020-05-29,6.56,6.72,6.44,6.57,129404400,0,0
2020-06-01,6.58,6.82,6.49,6.76,75178700,0,0
2020-06-02,6.9,7.18,6.86,7.05,113575400,0,0
2020-06-03,7.22,7.42,7.18,7.36,122819500,0,0
2020-06-04,7.31,7.75,7.17,7.74,125193900,0,0
2020-06-05,8.45,8.56,7.83,7.88,167811600,0,0
2020-06-08,8.22,8.57,8.11,8.46,158459100,0,0
2020-06-09,8.19,8.21,7.9,8.02,117645200,0,0
2020-06-10,7.97,7.98,7.52,7.61,116954500,0,0
2020-06-11,7.06,7.35,6.84,6.95,124502900,0,0
2020-06-12,7.34,7.43,7.08,7.25,100921800,0,0
