Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,70.81,70.81,65.9,66.55,821800,0,0
2020-05-14,65.29,67.55,62.75,67.37,754400,0,0
2020-05-15,66.48,69.03,65.31,68.76,2836500,0,0
2020-05-18,72.49,75.04,71.6,73.94,1604300,0,0
2020-05-19,73.68,73.83,70.74,70.75,487900,0,0
2020-05-20,71.81,73.62,71.57,72.6,447500,0,0
2020-05-21,72.12,73.85,72.12,73.38,397300,0,0
2020-05-22,73.36,73.45,71.67,72.54,546900,0,0
2020-05-26,75.82,78.23,75.27,76.83,472000,0,0
2020-05-27,80.35,81.06,78.14,78.44,578300,0,0
2020-05-28,79.18,79.18,76.73,77.08,516500,0,0
2020-05-29,76.04,77.81,75.25,77.02,879000,0,0
2020-06-01,77.33,79.95,76.38,79.25,696200,0,0
2020-06-02,80.67,81.01,78.51,78.94,620500,0,0
2020-06-03,80.94,82.77,80.34,80.86,521300,0,0
2020-06-04,80.25,82.68,79.54,82.64,651300,0,0
2020-06-05,87.36,88.43,85.69,85.92,611800,0,0
2020-06-08,86.32,88.53,86.22,87.24,649800,0,0
2020-06-09,84.63,85.94,83.77,85.01,441700,0,0
2020-06-10,84.41,84.91,82.31,82.49,551600,0,0
2020-06-11,78.14,79.69,73.92,74.0,591800,0,0
2020-06-12,77.27,77.75,73.69,75.9,511800,0,0
