Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,20.11,20.22,19.21,19.44,4478000,0.0,0
2020-05-14,19.17,19.77,18.64,19.75,4264300,0.0,0
2020-05-15,19.47,19.67,19.27,19.46,3248300,0.0,0
2020-05-18,20.17,20.92,20.16,20.77,3878400,0.0,0
2020-05-19,20.75,21.05,20.23,20.64,3985700,0.0,0
2020-05-20,21.0,21.51,20.76,21.38,5140900,0.0,0
2020-05-21,21.35,21.51,21.09,21.12,4115100,0.0,0
2020-05-22,21.13,21.23,20.79,21.18,3872400,0.0,0
2020-05-26,21.79,22.59,21.76,22.27,5076400,0.0,0
2020-05-27,22.69,23.13,22.49,23.11,6375200,0.0,0
2020-05-28,23.21,23.46,22.81,23.05,5312800,0.22,0
2020-05-29,22.91,22.97,22.18,22.79,7793700,0.0,0
2020-06-01,22.75,22.91,22.52,22.74,3647500,0.0,0
2020-06-02,22.94,23.88,22.89,23.88,5722900,0.0,0
2020-06-03,24.33,25.25,24.32,25.15,5607500,0.0,0
2020-06-04,24.79,25.33,24.64,24.75,5926500,0.0,0
2020-06-05,25.86,26.71,25.86,26.68,8206500,0.0,0
2020-06-08,26.86,27.29,26.59,27.27,7535000,0.0,0
2020-06-09,26.58,27.85,26.5,27.63,9692200,0.0,0
2020-06-10,27.7,28.11,27.42,27.85,11461300,0.0,0
2020-06-11,26.6,27.07,25.97,26.15,13916200,0.0,0
2020-06-12,27.05,27.35,26.53,26.93,9550800,0.0,0
