Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,22.44,22.45,21.13,21.46,16832600,0,0
2020-05-14,20.66,22.34,20.49,22.31,15629100,0,0
2020-05-15,21.97,22.68,21.83,22.63,14221300,0,0
2020-05-18,24.0,25.21,24.0,24.81,23289200,0,0
2020-05-19,24.75,25.7,24.29,24.69,18484600,0,0
2020-05-20,25.31,25.89,25.22,25.48,14056800,0,0
2020-05-21,25.29,26.02,25.21,25.8,14320700,0,0
2020-05-22,25.99,26.23,25.22,25.98,14317400,0,0
2020-05-26,27.82,27.89,27.25,27.4,18870500,0,0
2020-05-27,28.53,28.83,26.91,27.79,15030700,0,0
2020-05-28,27.86,27.94,26.6,26.68,11641000,0,0
2020-05-29,26.35,26.57,25.69,25.88,22223500,0,0
2020-06-01,25.99,27.22,25.91,26.94,10452800,0,0
2020-06-02,27.32,27.62,26.95,27.41,10953800,0,0
2020-06-03,28.42,29.13,28.25,29.07,16860900,0,0
2020-06-04,28.86,29.44,28.52,29.16,16328800,0,0
2020-06-05,31.0,31.15,29.81,30.61,29418600,0,0
2020-06-08,31.22,31.66,30.6,30.68,15234200,0,0
2020-06-09,29.4,30.22,28.71,29.86,16945500,0,0
2020-06-10,29.8,29.84,28.42,28.75,15648000,0,0
2020-06-11,26.62,27.8,26.29,26.5,19121900,0,0
2020-06-12,28.72,28.96,27.07,27.96,21577300,0,0
