Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,1376.16,1385.33,1328.01,1348.33,2018400,0,0
2020-05-14,1333.52,1357.37,1323.3,1356.86,1833000,0,0
2020-05-15,1348.26,1374.58,1339.0,1373.06,2077200,0,0
2020-05-18,1361.58,1392.76,1354.2,1385.18,2356400,0,0
2020-05-19,1385.48,1392.49,1373.76,1374.4,1579300,0,0
2020-05-20,1389.16,1412.03,1387.42,1409.16,1913100,0,0
2020-05-21,1410.99,1416.46,1394.39,1406.75,1544700,0,0
2020-05-22,1403.9,1417.0,1395.95,1413.24,1427200,0,0
2020-05-26,1441.96,1445.11,1419.4,1421.37,2229500,0,0
2020-05-27,1420.0,1425.35,1394.6,1420.28,1584200,0,0
2020-05-28,1400.0,1444.46,1399.08,1418.24,1758500,0,0
2020-05-29,1420.43,1436.73,1415.98,1433.52,1852200,0,0
2020-06-01,1425.7,1441.58,1422.28,1434.87,1258100,0,0
2020-06-02,1435.0,1443.0,1421.61,1442.31,1172100,0,0
2020-06-03,1442.7,1449.01,1431.62,1439.25,1386600,0,0
2020-06-04,1436.78,1441.32,1406.01,1414.3,1349100,0,0
2020-06-05,1415.64,1446.3,1407.62,1440.02,2132100,0,0
2020-06-08,1426.28,1449.0,1424.48,1448.04,1693900,0,0
2020-06-09,1445.24,1467.8,1442.36,1452.08,1681200,0,0
2020-06-10,1461.51,1472.77,1454.36,1464.7,1588100,0,0
2020-06-11,1441.03,1451.6,1398.41,1401.9,2357200,0,0
2020-06-12,1425.86,1434.51,1385.8,1412.92,1832900,0,0
