Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,166.47,168.55,160.97,162.79,1817800,0.0,0
2020-05-14,160.63,164.14,157.92,164.14,1574800,0.0,0
2020-05-15,163.65,169.91,162.36,169.69,1494400,0.0,0
2020-05-18,176.79,181.69,175.99,179.91,2694700,0.0,0
2020-05-19,179.05,185.29,178.12,179.72,2130600,0.0,0
2020-05-20,181.53,184.3,179.81,180.28,1799000,0.0,0
2020-05-21,180.1,180.39,175.67,176.23,1091100,0.0,0
2020-05-22,176.2,177.84,174.83,176.57,893100,0.0,0
2020-05-26,182.12,182.6,176.39,177.25,1556700,0.0,0
2020-05-27,178.16,179.39,172.82,177.57,1749800,0.0,0
2020-05-28,178.48,181.36,176.77,177.76,1288600,0.0,0
2020-05-29,177.56,179.64,176.61,179.3,1846200,0.0,0
2020-06-01,179.5,182.64,179.0,181.49,1401500,0.0,0
2020-06-02,183.31,183.69,180.41,181.19,1549100,0.0,0
2020-06-03,182.28,189.15,180.96,188.91,2169700,0.0,0
2020-06-04,187.23,188.06,181.0,183.32,1780500,0.0,0
2020-06-05,187.56,190.5,185.09,189.2,2073800,0.0,0
2020-06-08,187.82,190.58,187.52,189.58,1230600,0.0,0
2020-06-09,188.0,188.5,184.95,185.26,1621800,0.0,0
2020-06-10,185.86,191.12,184.07,188.82,1769900,0.0,0
2020-06-11,183.0,183.55,173.88,175.42,2470300,0.195,0
2020-06-12,181.64,182.14,173.8,178.58,1467100,0.0,0
