Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,7.26,7.27,6.78,6.94,9727900,0,0
2020-05-14,6.71,7.49,6.54,7.17,13123800,0,0
2020-05-15,7.01,7.74,6.92,7.6,12072600,0,0
2020-05-18,8.03,8.3,7.71,7.82,18138100,0,0
2020-05-19,7.67,7.9,7.19,7.61,10955600,0,0
2020-05-20,7.76,7.79,7.22,7.34,11167200,0,0
2020-05-21,7.34,8.39,7.28,8.19,17377500,0,0
2020-05-22,8.21,8.6,7.95,8.21,12515100,0,0
2020-05-26,8.88,9.13,8.68,8.93,13720500,0,0
2020-05-27,9.55,10.6,9.31,10.57,21358200,0,0
2020-05-28,10.68,10.8,9.51,9.59,14424700,0,0
2020-05-29,9.39,9.44,8.81,8.9,26845900,0,0
2020-06-01,9.38,10.23,9.33,9.89,20109800,0,0
2020-06-02,10.11,10.72,9.84,10.65,15946900,0,0
2020-06-03,10.97,12.1,10.97,11.95,20411700,0,0
2020-06-04,11.31,12.19,11.23,12.14,22990500,0,0
2020-06-05,12.79,12.82,11.16,12.31,29915800,0,0
2020-06-08,12.57,13.75,12.55,13.65,19764100,0,0
2020-06-09,13.2,13.39,12.21,12.47,17132900,0,0
2020-06-10,12.23,12.3,10.84,11.03,23233300,0,0
2020-06-11,10.0,10.43,9.66,10.14,17517300,0,0
2020-06-12,10.98,11.06,10.01,10.54,15605900,0,0
