Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,7.81,7.81,7.29,7.39,12022200,0,0
2020-05-14,7.19,7.78,6.99,7.71,13099700,0,0
2020-05-15,7.62,7.73,7.46,7.51,8470900,0,0
2020-05-18,7.94,8.32,7.88,8.26,9643100,0,0
2020-05-19,8.15,8.22,7.86,7.88,8270700,0,0
2020-05-20,8.06,8.25,8.06,8.21,8735200,0,0
2020-05-21,8.13,8.38,8.12,8.17,7594200,0,0
2020-05-22,8.23,8.27,7.96,8.1,4908600,0,0
2020-05-26,8.49,9.12,8.48,8.99,9933000,0,0
2020-05-27,9.48,9.72,9.16,9.52,11190900,0,0
2020-05-28,9.61,9.7,9.05,9.11,16327200,0,0
2020-05-29,8.91,9.12,8.78,8.89,15744700,0,0
2020-06-01,8.92,9.21,8.81,9.1,7419500,0,0
2020-06-02,9.27,9.42,9.12,9.2,10105800,0,0
2020-06-03,9.5,10.0,9.43,9.9,11556900,0,0
2020-06-04,9.83,10.47,9.7,10.47,12353700,0,0
2020-06-05,11.37,11.68,10.85,10.99,14563000,0,0
2020-06-08,11.36,11.46,11.01,11.35,10438500,0,0
2020-06-09,10.94,11.17,10.77,11.0,9279600,0,0
2020-06-10,10.87,11.01,10.38,10.4,21210500,0,0
2020-06-11,9.82,9.97,9.43,9.48,12517000,0,0
2020-06-12,10.03,10.1,9.53,9.89,11397600,0,0
