Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,231.66,234.9,227.18,228.73,6237200,0.0,0
2020-05-14,225.03,233.27,224.86,233.09,6434500,0.0,0
2020-05-15,231.41,241.79,231.32,237.91,16176300,0.0,0
2020-05-18,244.38,246.85,242.59,243.89,8341300,0.0,0
2020-05-19,239.02,241.02,236.39,236.69,9387000,0.0,0
2020-05-20,240.56,240.83,233.56,236.78,7534200,0.0,0
2020-05-21,236.21,239.75,234.39,239.45,4772700,0.0,0
2020-05-22,239.27,240.9,237.24,240.44,3041800,0.0,0
2020-05-26,246.68,246.75,240.63,241.04,4535200,0.0,0
2020-05-27,241.25,245.92,239.35,245.89,4664800,0.0,0
2020-05-28,248.04,250.73,242.98,243.68,5259300,0.0,0
2020-05-29,243.61,248.23,243.28,247.01,5342800,0.0,0
2020-06-01,247.93,248.3,244.41,245.82,3407800,0.0,0
2020-06-02,247.15,251.22,245.53,251.21,5301000,0.0,0
2020-06-03,251.8,252.83,250.39,251.0,4638100,1.5,0
2020-06-04,249.77,252.17,247.47,248.95,4759400,0.0,0
2020-06-05,252.34,255.85,250.38,254.9,5054300,0.0,0
2020-06-08,252.49,256.81,252.26,256.77,3811900,0.0,0
2020-06-09,255.33,258.29,253.86,256.76,3716100,0.0,0
2020-06-10,257.45,259.29,254.22,254.45,3589800,0.0,0
2020-06-11,248.86,250.62,238.74,239.47,6563700,0.0,0
2020-06-12,243.07,246.39,237.05,242.45,5237300,0.0,0
