Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,44.87,45.83,41.66,42.14,2757500,0.0,0
2020-05-14,41.33,43.66,40.09,42.55,2829600,0.0,0
2020-05-15,42.23,45.0,42.12,43.84,2604900,0.0,0
2020-05-18,46.98,49.79,46.68,48.86,3063300,0.0,0
2020-05-19,49.05,49.05,45.52,45.62,1896200,0.0,0
2020-05-20,46.94,48.12,46.76,47.1,1616800,0.0,0
2020-05-21,47.4,47.95,46.27,47.0,1320500,0.0,0
2020-05-22,46.4,46.95,46.02,46.86,1884300,0.0,0
2020-05-26,48.82,49.35,47.83,48.38,1934700,0.0,0
2020-05-27,49.18,49.31,47.1,49.14,1450800,0.0,0
2020-05-28,49.3,49.53,48.08,48.19,2185900,0.0,0
2020-05-29,48.5,48.5,46.24,47.23,2653400,0.0,0
2020-06-01,47.35,48.69,46.87,48.45,2458300,0.0,0
2020-06-02,49.82,51.74,49.47,51.47,3169700,0.0,0
2020-06-03,52.54,52.72,50.4,51.84,2245000,0.0,0
2020-06-04,51.55,52.96,50.84,52.21,1655300,0.0,0
2020-06-05,55.71,57.63,55.16,56.74,6349800,0.0,0
2020-06-08,59.52,59.72,57.71,59.67,4411400,0.0,0
2020-06-09,56.8,58.36,56.11,57.37,2841400,0.0,0
2020-06-10,55.89,56.44,53.26,53.29,2203400,0.0,0
2020-06-11,49.29,51.59,47.96,48.32,3543700,0.0,0
2020-06-12,51.11,51.71,47.92,49.61,2928600,0.25,0
