Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,33.36,33.57,31.64,31.8,3783600,0.0,0
2020-05-14,31.31,33.06,30.02,33.02,3599200,0.0,0
2020-05-15,32.73,33.16,32.05,32.97,4531700,0.0,0
2020-05-18,34.83,35.43,34.38,34.96,3159500,0.0,0
2020-05-19,34.63,34.91,33.85,34.06,2041400,0.0,0
2020-05-20,34.53,35.34,34.25,34.72,2303100,0.0,0
2020-05-21,34.72,36.99,34.71,36.8,4453700,0.0,0
2020-05-22,36.95,37.32,36.1,36.68,3959700,0.0,0
2020-05-26,38.54,39.21,38.18,38.29,3079800,0.0,0
2020-05-27,39.87,39.92,38.21,38.94,2863500,0.0,0
2020-05-28,39.36,39.5,38.09,38.9,3161400,0.0,0
2020-05-29,38.33,39.33,37.8,38.29,7541500,0.325,0
2020-06-01,38.6,39.15,37.91,38.87,3344100,0.0,0
2020-06-02,39.22,40.62,38.81,40.41,3237200,0.0,0
2020-06-03,41.44,42.9,41.12,42.08,5740500,0.0,0
2020-06-04,41.85,44.29,41.57,44.28,3732800,0.0,0
2020-06-05,47.61,48.59,46.13,46.67,4167900,0.0,0
2020-06-08,47.16,48.02,45.99,46.64,3751600,0.0,0
2020-06-09,45.0,45.34,44.26,44.98,2381100,0.0,0
2020-06-10,44.68,44.68,42.67,42.9,3515600,0.0,0
2020-06-11,40.1,41.1,38.94,39.09,3096900,0.0,0
2020-06-12,41.19,41.28,38.84,40.03,2229500,0.0,0
